customer_name_token,total_amount,avg_amount,txn_count
TKN_6665311710d3d246,35063.35,3506.335,10
TKN_68263c5cd1116993,19827.33,3304.5550000000003,6
TKN_692c6814e4429050,8806.01,1761.202,5
TKN_69334367de02d718,30173.8,5028.966666666666,6
TKN_6aa51b48cc6a210d,7568.89,1513.778,5
TKN_6d4b81a3d5bdaaf6,28884.600000000002,5776.92,5
TKN_6d706890c91d9898,11685.400000000001,3895.1333333333337,3
TKN_6f197deae3570d53,13220.72,3305.18,4
TKN_713af52201aed71c,12832.12,2138.686666666667,6
TKN_7496a150e6b0b83f,42387.130000000005,4709.681111111112,9
TKN_7a9ba4dc0ab140bb,25887.95,2876.438888888889,9
TKN_7b769d3956b2b5a1,43293.53999999999,6184.791428571428,7
TKN_7b7fd8219b45a40d,4491.299999999999,1497.0999999999997,3
TKN_7f3b08965c78cc43,30662.17,5110.361666666667,6
TKN_8031cc1e99b326d3,17030.63,2838.4383333333335,6
TKN_818e21437d9a72df,24977.129999999997,6244.282499999999,4
TKN_82315dd82932fbdb,28295.210000000003,4715.868333333334,6
TKN_82a99779fb2f0945,18809.27,2351.15875,8
TKN_82ad589a0b4dbd0f,39051.7,7810.339999999999,5
TKN_832fb06579c71ad5,9392.92,3130.9733333333334,3
TKN_83c4a6d02cf19aaa,37851.72,4731.465,8
TKN_860432528c83016b,25828.510000000002,4304.751666666667,6
TKN_87086295e47c4ba8,46772.96,6681.851428571428,7
TKN_87f69129cdc1802d,19630.96,4907.74,4
TKN_8965bc9f0a1dbf41,3699.1400000000003,1849.5700000000002,2
TKN_897f5c3970c94481,32555.339999999997,4650.762857142857,7
TKN_8c01332da8c5e3d9,6871.07,1374.214,5
TKN_8d99ef2a790df789,15984.95,3196.9900000000002,5
TKN_8f1266eaa0589056,66585.1,8323.1375,8
TKN_90c4dda0c1503147,46590.130000000005,5823.766250000001,8
TKN_91029e96b9c85ee6,16867.100000000002,8433.550000000001,2
TKN_92bdaf8ab497e722,15623.54,7811.77,2
TKN_96c7a87ae58e9eb2,24857.06,3551.0085714285715,7
TKN_9751a3af27e523ce,35578.71,5929.785,6
TKN_98e523159fc2da14,26121.87,4353.6449999999995,6
TKN_9939897c4dd3ac28,66020.44,11003.406666666668,6
TKN_9b83aeea1ac334eb,20051.15,2506.39375,8
TKN_9c6bcd6e5e6606a1,17333.34,2888.89,6
TKN_9c93b62d0fc4868c,25898.97,2877.6633333333334,9
TKN_a026b0c89975d179,48172.299999999996,5352.477777777777,9
TKN_a0394493f63ba420,8517.76,1419.6266666666668,6
TKN_a141ea0cf312b48f,222.65,222.65,1
TKN_a35ac6fe46a11953,40329.16,8065.832,5
TKN_a5cab5710766b1fa,30748.66,6149.732,5
TKN_a75104c2fba245d1,19749.5,9874.75,2
TKN_aa0d64b0043aa9c1,17609.92,2515.702857142857,7
TKN_aa92ca2b152af7dd,46291.08,6613.011428571429,7
TKN_aa9c50607ca2cade,988.71,494.355,2
TKN_aae82de22859f53b,21109.370000000003,5277.342500000001,4
TKN_ad553317eddf432a,39590.13,4948.76625,8
TKN_ae2daf7dbc4d267c,1880.66,470.165,4
TKN_af229d9a41b49e58,9037.1,2259.275,4
TKN_b014fe4c5b8176d6,9691.49,1938.298,5
TKN_b3471c6d8b278967,12583.42,4194.473333333333,3
TKN_b6f0725ff14006d6,24238.29,3462.612857142857,7
TKN_b7c8d04c85c000f0,30280.93,5046.821666666667,6
TKN_b98c169efb30ef0d,9310.63,1551.7716666666665,6
TKN_bd768ff988433936,27286.32,5457.264,5
TKN_bd80716051ec6686,42540.01,5317.50125,8
TKN_be498cd0059bbd26,7199.72,1799.93,4
TKN_bf533f57e79ad8ff,63682.73,7075.858888888889,9
TKN_c222900bcb320c6d,11008.39,2201.678,5
TKN_c409067cc6af772a,22388.79,3731.465,6
TKN_c442a4d82a49e586,45538.69,5059.854444444445,9
TKN_c4da7b3e09b3239c,71017.48,7101.748,10
TKN_c58ee63d989dacff,21453.010000000002,3064.7157142857145,7
TKN_c6e8ec27f49fb2fb,13294.46,2658.892,5
TKN_c9b41080bfe64ec1,17562.03,1756.203,10
TKN_cb6ebd8c1b3d3d46,34957.9,4369.7375,8
TKN_cd63bd23b7abd508,45425.86,5678.2325,8
TKN_d05de67bc1ee510a,14585.66,3646.415,4
TKN_d24e5267327efc81,2350.55,587.6375,4
TKN_d31147b6476ac505,14378.06,2396.3433333333332,6
TKN_d67b2504eb1c1b04,17368.29,5789.43,3
TKN_d69aa5d85700059a,21642.04,5410.51,4
TKN_d70f0b058b5674f3,33783.84,5630.639999999999,6
TKN_d71552f4daab6b6a,34743.22,4342.9025,8
TKN_d73cecef69c7eff2,16665.87,2777.645,6
TKN_d761c08dfcc1b7dd,17951.6,4487.9,4
TKN_d86d69ef2c050e19,11223.7,2805.925,4
TKN_d90487d7a2196678,3889.36,1296.4533333333334,3
TKN_d9713c91a13eb55b,3919.4700000000003,653.245,6
TKN_dad9864e2c0f0fba,32150.410000000003,6430.082,5
TKN_dc68f9d480a60fd2,29325.440000000002,3665.6800000000003,8
TKN_dd4777db274398d1,42074.4,4674.933333333333,9
TKN_dedfc36132bf828e,4686.63,1562.21,3
TKN_e2abb68ad7e82af5,40703.2,8140.639999999999,5
TKN_e4555141b26b9b02,15787.33,3946.8325,4
TKN_e8dc50899b9ddf56,45569.11,9113.822,5
TKN_ea06585380487c99,6316.68,2105.56,3
TKN_eab10eb52f164646,5654.860000000001,1413.7150000000001,4
TKN_ebabe0bc4e3e6451,44228.3,8845.66,5
TKN_edb53679e9491831,29078.65,4846.441666666667,6
TKN_ee8788d433fc184e,11385.64,2277.1279999999997,5
TKN_eea177cdb713f172,6522.1,1630.525,4
TKN_f138ba45b8ce64b4,14416.19,4805.3966666666665,3
TKN_f72a8bc3390ed2ad,8045.510000000001,2681.836666666667,3
TKN_fb2f34fc242efea5,23640.25,3940.0416666666665,6
TKN_fc015c153538c737,30763.15,5127.191666666667,6
TKN_fd8819ba886d4612,26018.11,5203.622,5
TKN_fe16b9dfabbf2c1f,10913.41,10913.41,1
TKN_fe8d878d6db2bcbd,15621.14,2231.5914285714284,7
TKN_fec91b5161340ec2,21591.49,2399.0544444444445,9
