category,product_name,total_revenue,rank_in_category
Clothing,Provident Footwear Clo66,1544115.37,22
Clothing,Sequi Kids Clo58,1331495.02,23
Clothing,Minus Footwear Clo47,1235108.87,24
Clothing,Corrupti Kids Clo50,1160320.98,25
Clothing,Perspiciatis Men Clo69,1157786.4,26
Clothing,A Women Clo74,1133358.69,27
Clothing,Delectus Footwear Clo49,1016477.48,28
Clothing,Nihil Footwear Clo56,832664.68,29
Clothing,Fuga Women Clo38,682201.97,30
Clothing,Eum Kids Clo46,626928.54,31
Clothing,Consequatur Kids Clo59,623871.16,32
Clothing,Odit Kids Clo42,532129.57,33
Clothing,Distinctio Men Clo57,452078.92,34
Clothing,Vitae Kids Clo55,291786.03,35
Clothing,Dolorum Footwear Clo60,195877.04,36
Clothing,Ad Footwear Clo51,42351.83,37
Electronics,Sequi Laptops Ele25,4713097.82,1
Electronics,Necessitatibus Accessories Ele15,4271364.23,2
Electronics,Sapiente Mobiles Ele31,4225520.55,3
Electronics,Id Accessories Ele21,3800799.83,4
Electronics,Dignissimos Audio Ele9,3796732.16,5
Electronics,Doloremque Accessories Ele11,3737346.79,6
Electronics,Rem Mobiles Ele8,3632769.31,7
Electronics,Aspernatur Accessories Ele10,3619362.0,8
Electronics,Rerum Accessories Ele2,3555484.71,9
Electronics,Ut Mobiles Ele20,3325916.27,10
Electronics,Tempore Audio Ele18,3240761.38,11
Electronics,Soluta Laptops Ele35,3234950.05,12
Electronics,Recusandae Accessories Ele17,3154062.97,13
Electronics,Rem Audio Ele1,3117362.86,14
Electronics,Ducimus Mobiles Ele13,3071169.4,15
Electronics,Quam Audio Ele6,2958123.89,16
Electronics,Est Laptops Ele29,2779680.66,17
Electronics,Neque Accessories Ele30,2652826.17,18
Electronics,Dicta Accessories Ele32,2623604.35,19
Electronics,Esse Mobiles Ele23,2521046.19,20
Electronics,Unde Accessories Ele36,2416745.52,21
Electronics,Facilis Laptops Ele12,2373652.98,22
Electronics,Quaerat Laptops Ele37,1731331.78,23
Electronics,Deleniti Laptops Ele4,1665615.14,24
Electronics,Ducimus Accessories Ele34,1359316.48,25
Electronics,Perspiciatis Accessories Ele27,1300919.41,26
Electronics,Occaecati Accessories Ele24,1269068.23,27
Electronics,Suscipit Mobiles Ele5,1187727.88,28
Electronics,Ad Mobiles Ele19,1111459.99,29
Electronics,Optio Accessories Ele26,1042120.21,30
Electronics,Dolores Mobiles Ele28,745816.69,31
Electronics,Blanditiis Laptops Ele22,505709.39,32
Electronics,Sapiente Laptops Ele16,438581.86,33
Electronics,Animi Audio Ele7,368504.13,34
Electronics,Quas Laptops Ele14,142486.62,35
Electronics,Dolorem Laptops Ele3,119584.9,36
Electronics,Reprehenderit Audio Ele33,118328.53,37
Home,Modi Decor Hom87,3959452.92,1
Home,Repellat Cleaning Hom108,3851835.64,2
Home,Eveniet Furniture Hom97,3794644.44,3
Home,Consequuntur Furniture Hom92,3099039.65,4
Home,Quia Decor Hom83,2899194.4,5
Home,Quasi Decor Hom111,2762597.63,6
Home,Maxime Decor Hom80,2611387.76,7
Home,Nisi Furniture Hom93,2577549.32,8
Home,Id Decor Hom99,2552912.33,9
Home,Non Kitchen Hom77,2544141.18,10
Home,Laudantium Decor Hom88,2421815.08,11
Home,Totam Cleaning Hom76,2403057.55,12
Home,Perferendis Furniture Hom96,2350111.3,13
Home,Perspiciatis Cleaning Hom86,2073650.58,14
Home,Eum Decor Hom85,2047767.35,15
Home,Voluptatum Cleaning Hom106,2018721.5,16
Home,Quasi Decor Hom109,1934029.9,17
Home,Facere Cleaning Hom95,1792913.31,18
Home,Repudiandae Kitchen Hom89,1694601.37,19
Home,Repellat Decor Hom91,1663608.38,20
Home,Quasi Decor Hom78,1498431.29,21
Home,Ab Kitchen Hom105,1441658.66,22
Home,Sapiente Kitchen Hom100,1305666.2,23
Home,Voluptatem Furniture Hom82,1195702.26,24
Home,Aperiam Decor Hom81,1080493.88,25
Home,Nobis Cleaning Hom84,1038861.91,26
Home,Veritatis Furniture Hom75,1036225.33,27
Home,Voluptatem Decor Hom90,1023713.04,28
Home,Facere Cleaning Hom103,948952.45,29
Home,Quisquam Kitchen Hom101,833921.21,30
Home,Nihil Cleaning Hom79,760694.54,31
Home,Ab Cleaning Hom107,636130.76,32
Home,Blanditiis Cleaning Hom98,610686.36,33
Home,Nemo Furniture Hom102,238374.31,34
Home,Deleniti Furniture Hom94,182440.47,35
Home,Cumque Decor Hom110,75400.73,36
Home,Eaque Decor Hom104,59039.1,37
