region_code,order_date,daily_revenue,running_total
CENTRAL,2025-02-13,424415.45,30838481.59
CENTRAL,2025-02-15,98199.61,30936681.19
CENTRAL,2025-02-17,354402.8,31291083.99
CENTRAL,2025-02-18,304055.71,31595139.71
CENTRAL,2025-02-19,3594.55,31598734.26
CENTRAL,2025-02-20,460093.05,32058827.31
CENTRAL,2025-02-21,415528.51,32474355.82
CENTRAL,2025-02-22,19219.26,32493575.08
CENTRAL,2025-02-24,-4422.17,32489152.91
CENTRAL,2025-02-26,136838.23,32625991.13
CENTRAL,2025-03-01,509491.12,33135482.26
CENTRAL,2025-03-02,159457.0,33294939.26
CENTRAL,2025-03-03,328766.67,33623705.93
CENTRAL,2025-03-04,353332.89,33977038.82
CENTRAL,2025-03-06,111464.4,34088503.22
CENTRAL,2025-03-07,66913.99,34155417.21
CENTRAL,2025-03-10,143752.21,34299169.42
CENTRAL,2025-03-13,11578.89,34310748.31
CENTRAL,2025-03-14,496745.4,34807493.71
CENTRAL,2025-03-16,4828.9,34812322.61
CENTRAL,2025-03-19,271487.36,35083809.97
CENTRAL,2025-03-22,103935.68,35187745.65
CENTRAL,2025-03-23,772567.27,35960312.92
CENTRAL,2025-03-24,407220.7,36367533.63
CENTRAL,2025-03-25,273892.57,36641426.2
CENTRAL,2025-03-26,357443.09,36998869.29
CENTRAL,2025-03-30,167213.92,37166083.21
CENTRAL,2025-04-02,540196.16,37706279.37
CENTRAL,2025-04-03,373580.24,38079859.6
CENTRAL,2025-04-05,54365.98,38134225.59
CENTRAL,2025-04-06,423348.07,38557573.66
CENTRAL,2025-04-10,356956.77,38914530.42
CENTRAL,2025-04-11,79867.41,38994397.84
CENTRAL,2025-04-12,24789.85,39019187.69
CENTRAL,2025-04-13,696414.89,39715602.57
CENTRAL,2025-04-14,107271.3,39822873.88
CENTRAL,2025-04-15,87405.68,39910279.55
CENTRAL,2025-04-16,98312.6,40008592.15
CENTRAL,2025-04-17,11565.03,40020157.18
CENTRAL,2025-04-18,131576.67,40151733.85
CENTRAL,2025-04-19,321190.54,40472924.4
CENTRAL,2025-04-20,85465.12,40558389.52
CENTRAL,2025-04-21,337745.39,40896134.91
CENTRAL,2025-04-22,314512.38,41210647.29
CENTRAL,2025-04-24,275294.64,41485941.93
CENTRAL,2025-04-26,287982.7,41773924.63
CENTRAL,2025-04-27,77201.29,41851125.92
CENTRAL,2025-04-28,179399.98,42030525.9
CENTRAL,2025-04-29,64957.47,42095483.37
CENTRAL,2025-05-01,182254.76,42277738.13
CENTRAL,2025-05-02,163439.15,42441177.28
CENTRAL,2025-05-03,561595.86,43002773.15
CENTRAL,2025-05-04,300708.79,43303481.93
CENTRAL,2025-05-05,200229.06,43503710.99
CENTRAL,2025-05-07,332215.2,43835926.2
CENTRAL,2025-05-10,71565.36,43907491.56
CENTRAL,2025-05-11,10515.53,43918007.08
CENTRAL,2025-05-12,339255.79,44257262.88
CENTRAL,2025-05-13,382024.72,44639287.59
CENTRAL,2025-05-14,166357.19,44805644.78
CENTRAL,2025-05-15,51656.36,44857301.14
CENTRAL,2025-05-16,49001.44,44906302.57
CENTRAL,2025-05-17,254107.68,45160410.25
CENTRAL,2025-05-18,463863.74,45624273.99
CENTRAL,2025-05-19,174995.96,45799269.96
CENTRAL,2025-05-20,815542.19,46614812.14
CENTRAL,2025-05-21,174019.13,46788831.27
CENTRAL,2025-05-22,505809.71,47294640.98
CENTRAL,2025-05-23,79858.29,47374499.27
CENTRAL,2025-05-24,150051.61,47524550.88
CENTRAL,2025-05-25,549193.08,48073743.96
CENTRAL,2025-05-26,154617.61,48228361.57
CENTRAL,2025-05-27,541949.24,48770310.81
CENTRAL,2025-05-29,222853.48,48993164.29
CENTRAL,2025-05-30,18346.93,49011511.22
CENTRAL,2025-05-31,79349.0,49090860.22
CENTRAL,2025-06-01,236941.13,49327801.34
CENTRAL,2025-06-02,286474.21,49614275.55
CENTRAL,2025-06-04,604101.95,50218377.5
CENTRAL,2025-06-05,492453.54,50710831.04
CENTRAL,2025-06-07,160853.82,50871684.86
CENTRAL,2025-06-08,138144.01,51009828.88
CENTRAL,2025-06-09,421359.55,51431188.42
CENTRAL,2025-06-11,247098.58,51678287.01
CENTRAL,2025-06-12,204709.29,51882996.3
CENTRAL,2025-06-13,380138.08,52263134.38
CENTRAL,2025-06-14,662655.83,52925790.21
CENTRAL,2025-06-15,875464.23,53801254.44
CENTRAL,2025-06-16,162641.15,53963895.59
CENTRAL,2025-06-17,293412.12,54257307.71
CENTRAL,2025-06-18,532219.26,54789526.97
CENTRAL,2025-06-19,562982.88,55352509.85
CENTRAL,2025-06-20,155673.77,55508183.62
CENTRAL,2025-06-21,575367.89,56083551.51
CENTRAL,2025-06-22,170946.8,56254498.31
CENTRAL,2025-06-23,740788.58,56995286.9
CENTRAL,2025-06-24,737671.83,57732958.72
CENTRAL,2025-06-25,329752.91,58062711.63
CENTRAL,2025-06-26,397467.17,58460178.8
CENTRAL,2025-06-27,315915.14,58776093.94
CENTRAL,2025-06-28,187813.88,58963907.83
CENTRAL,2025-06-29,680417.67,59644325.5
EAST,2023-06-12,143644.18,143644.18
EAST,2023-07-14,71578.69,215222.87
EAST,2023-07-21,148719.89,363942.75
EAST,2023-07-25,21762.0,385704.75
EAST,2023-07-31,18771.7,404476.45
EAST,2023-08-01,57256.18,461732.63
EAST,2023-09-02,37217.21,498949.84
EAST,2023-09-16,171007.38,669957.22
EAST,2023-09-20,187465.22,857422.44
EAST,2023-10-01,105280.57,962703.0
EAST,2023-10-06,98866.99,1061569.99
EAST,2023-10-16,33512.58,1095082.57
EAST,2023-10-18,109725.03,1204807.6
EAST,2023-10-22,334050.74,1538858.34
EAST,2023-11-02,7476.29,1546334.63
EAST,2023-11-13,38834.38,1585169.02
EAST,2023-11-19,171125.6,1756294.62
EAST,2023-11-29,67725.58,1824020.21
EAST,2023-12-03,106804.34,1930824.55
EAST,2023-12-08,335606.41,2266430.96
EAST,2023-12-15,202208.83,2468639.78
EAST,2023-12-16,13074.33,2481714.11
EAST,2023-12-24,182133.37,2663847.48
EAST,2023-12-28,100411.37,2764258.85
EAST,2024-01-10,44705.37,2808964.22
EAST,2024-01-28,5088.96,2814053.18
EAST,2024-01-31,230634.79,3044687.96
EAST,2024-02-04,144908.16,3189596.12
EAST,2024-02-06,221773.66,3411369.78
EAST,2024-02-11,7470.32,3418840.1
EAST,2024-02-13,262008.06,3680848.16
EAST,2024-02-17,132081.44,3812929.6
EAST,2024-02-18,168116.28,3981045.87
EAST,2024-02-26,92492.32,4073538.2
EAST,2024-02-29,145393.71,4218931.91
EAST,2024-03-03,335741.58,4554673.49
EAST,2024-03-06,404135.31,4958808.79
EAST,2024-03-24,156660.78,5115469.57
EAST,2024-03-29,119955.76,5235425.33
EAST,2024-04-06,179728.56,5415153.89
EAST,2024-04-11,126997.97,5542151.86
EAST,2024-04-15,51510.2,5593662.06
EAST,2024-04-16,192240.6,5785902.66
EAST,2024-04-18,496476.71,6282379.37
EAST,2024-04-20,-23375.06,6259004.31
EAST,2024-04-24,78582.83,6337587.14
EAST,2024-04-26,122135.43,6459722.57
EAST,2024-04-29,131377.17,6591099.74
EAST,2024-05-02,111377.28,6702477.02
EAST,2024-05-04,119062.96,6821539.99
EAST,2024-05-09,160101.45,6981641.43
EAST,2024-05-14,133215.95,7114857.38
EAST,2024-05-19,104252.1,7219109.49
EAST,2024-05-20,575922.57,7795032.06
EAST,2024-05-21,226037.95,8021070.0
EAST,2024-05-24,94949.61,8116019.61
EAST,2024-05-29,67780.0,8183799.62
EAST,2024-06-07,54138.31,8237937.93
EAST,2024-06-10,134775.3,8372713.23
EAST,2024-06-11,254300.29,8627013.52
EAST,2024-06-14,90472.8,8717486.32
EAST,2024-06-17,108145.32,8825631.64
EAST,2024-06-19,354203.9,9179835.55
EAST,2024-06-20,19790.82,9199626.37
EAST,2024-06-28,48514.26,9248140.63
EAST,2024-07-11,166648.87,9414789.49
EAST,2024-07-12,216407.66,9631197.15
EAST,2024-07-13,385112.66,10016309.81
EAST,2024-07-15,55045.21,10071355.03
EAST,2024-07-17,323066.67,10394421.69
EAST,2024-07-20,73331.89,10467753.59
EAST,2024-07-22,108275.21,10576028.8
EAST,2024-07-23,382514.93,10958543.73
EAST,2024-07-24,302176.6,11260720.33
EAST,2024-07-27,183221.12,11443941.45
EAST,2024-07-28,487001.48,11930942.93
EAST,2024-07-30,258942.17,12189885.1
EAST,2024-08-01,70557.52,12260442.62
EAST,2024-08-04,54510.14,12314952.76
EAST,2024-08-06,161657.01,12476609.77
EAST,2024-08-09,132949.19,12609558.96
EAST,2024-08-18,197653.05,12807212.02
EAST,2024-08-19,108755.17,12915967.19
EAST,2024-08-21,271735.71,13187702.9
EAST,2024-08-22,18318.58,13206021.48
EAST,2024-08-23,-43035.12,13162986.36
EAST,2024-08-24,301582.47,13464568.83
EAST,2024-08-30,182567.55,13647136.38
EAST,2024-09-05,179935.71,13827072.09
EAST,2024-09-06,91309.8,13918381.89
EAST,2024-09-08,219780.5,14138162.39
EAST,2024-09-10,424956.34,14563118.74
EAST,2024-09-13,139562.61,14702681.35
EAST,2024-09-15,58068.0,14760749.35
EAST,2024-09-18,420944.67,15181694.02
EAST,2024-09-27,161428.54,15343122.56
EAST,2024-09-29,140733.35,15483855.92
EAST,2024-10-01,222687.44,15706543.35
EAST,2024-10-03,187841.77,15894385.13
EAST,2024-10-04,214369.68,16108754.81
EAST,2024-10-05,-32132.63,16076622.18
EAST,2024-10-06,365135.22,16441757.4
EAST,2024-10-10,114514.09,16556271.49
EAST,2024-10-11,91402.71,16647674.2
EAST,2024-10-13,443612.04,17091286.23
EAST,2024-10-16,119276.66,17210562.89
EAST,2024-10-18,155828.38,17366391.27
EAST,2024-10-21,225636.64,17592027.91
EAST,2024-10-22,144060.48,17736088.39
EAST,2024-10-24,206021.51,17942109.9
EAST,2024-10-26,275458.14,18217568.04
EAST,2024-10-27,69120.74,18286688.78
EAST,2024-10-28,85507.78,18372196.56
EAST,2024-10-29,13606.07,18385802.63
EAST,2024-10-30,54937.11,18440739.74
EAST,2024-10-31,147104.93,18587844.68
EAST,2024-11-01,376813.13,18964657.81
EAST,2024-11-06,112737.8,19077395.61
EAST,2024-11-09,158206.0,19235601.61
EAST,2024-11-13,17761.42,19253363.03
EAST,2024-11-16,413829.76,19667192.79
EAST,2024-11-19,147202.71,19814395.5
EAST,2024-11-20,87157.33,19901552.83
EAST,2024-11-23,168477.72,20070030.55
EAST,2024-11-25,149723.86,20219754.41
EAST,2024-11-26,134920.79,20354675.2
EAST,2024-11-28,46192.14,20400867.34
EAST,2024-11-29,186766.82,20587634.16
EAST,2024-12-01,276733.28,20864367.44
EAST,2024-12-04,74540.26,20938907.69
EAST,2024-12-08,312116.74,21251024.43
EAST,2024-12-10,160901.89,21411926.33
EAST,2024-12-12,436704.9,21848631.23
EAST,2024-12-13,96509.83,21945141.06
EAST,2024-12-17,416871.72,22362012.78
EAST,2024-12-18,105740.72,22467753.5
EAST,2024-12-28,44009.21,22511762.71
EAST,2024-12-29,442211.36,22953974.07
EAST,2024-12-30,306914.13,23260888.19
EAST,2024-12-31,83812.9,23344701.09
EAST,2025-01-01,168708.31,23513409.41
EAST,2025-01-03,410497.64,23923907.04
EAST,2025-01-07,475971.39,24399878.43
EAST,2025-01-08,100527.57,24500406.0
EAST,2025-01-10,104720.98,24605126.98
EAST,2025-01-12,489989.93,25095116.92
EAST,2025-01-13,149754.09,25244871.01
EAST,2025-01-14,149524.67,25394395.68
EAST,2025-01-17,53278.6,25447674.29
EAST,2025-01-19,279149.86,25726824.14
EAST,2025-01-21,694127.38,26420951.53
EAST,2025-01-22,258012.73,26678964.25
EAST,2025-01-23,3638.12,26682602.37
EAST,2025-01-24,282337.59,26964939.96
EAST,2025-01-26,290818.78,27255758.74
EAST,2025-01-27,89089.7,27344848.44
EAST,2025-01-29,99038.34,27443886.78
EAST,2025-01-30,41087.64,27484974.42
EAST,2025-02-01,354999.23,27839973.65
EAST,2025-02-02,22477.23,27862450.88
EAST,2025-02-03,270685.22,28133136.1
EAST,2025-02-04,10810.64,28143946.74
EAST,2025-02-06,7078.97,28151025.71
EAST,2025-02-11,65732.7,28216758.41
EAST,2025-02-12,21207.3,28237965.71
EAST,2025-02-14,99526.6,28337492.31
EAST,2025-02-15,54871.58,28392363.89
EAST,2025-02-16,75179.35,28467543.24
EAST,2025-02-17,440472.81,28908016.05
EAST,2025-02-18,203542.11,29111558.16
EAST,2025-02-19,235627.4,29347185.57
EAST,2025-02-21,41184.23,29388369.8
EAST,2025-02-22,426248.0,29814617.79
EAST,2025-02-23,553946.42,30368564.21
EAST,2025-02-24,183481.67,30552045.88
EAST,2025-02-25,185410.59,30737456.48
EAST,2025-02-27,469138.04,31206594.52
EAST,2025-02-28,155741.74,31362336.26
EAST,2025-03-01,159255.23,31521591.49
EAST,2025-03-02,86211.92,31607803.41
EAST,2025-03-03,126885.99,31734689.4
EAST,2025-03-04,246606.5,31981295.9
EAST,2025-03-05,128704.11,32110000.01
EAST,2025-03-06,370949.21,32480949.22
EAST,2025-03-07,140402.23,32621351.45
EAST,2025-03-09,239750.0,32861101.45
EAST,2025-03-10,522914.56,33384016.01
EAST,2025-03-11,613461.16,33997477.17
EAST,2025-03-12,214995.16,34212472.33
EAST,2025-03-13,385651.29,34598123.62
EAST,2025-03-14,34995.14,34633118.77
EAST,2025-03-15,321496.0,34954614.77
EAST,2025-03-16,79534.41,35034149.17
EAST,2025-03-17,63644.69,35097793.87
EAST,2025-03-24,753919.02,35851712.89
EAST,2025-03-26,393856.57,36245569.46
EAST,2025-03-29,172343.93,36417913.39
EAST,2025-03-30,226066.09,36643979.48
EAST,2025-03-31,178995.84,36822975.32
EAST,2025-04-02,261825.29,37084800.61
EAST,2025-04-03,81166.35,37165966.96
EAST,2025-04-04,263697.92,37429664.89
EAST,2025-04-07,353731.61,37783396.49
EAST,2025-04-09,184678.01,37968074.5
EAST,2025-04-10,15586.49,37983660.99
EAST,2025-04-12,541505.89,38525166.88
EAST,2025-04-13,507433.68,39032600.56
EAST,2025-04-14,235300.51,39267901.07
EAST,2025-04-15,326632.53,39594533.61
EAST,2025-04-16,327899.36,39922432.97
EAST,2025-04-18,330566.25,40252999.21
EAST,2025-04-19,308835.58,40561834.79
EAST,2025-04-20,186449.73,40748284.52
EAST,2025-04-21,160341.97,40908626.49
EAST,2025-04-22,88957.56,40997584.05
EAST,2025-04-23,239788.83,41237372.88
EAST,2025-04-24,468637.24,41706010.12
EAST,2025-04-25,26899.76,41732909.88
EAST,2025-04-26,300119.34,42033029.22
EAST,2025-04-29,15608.04,42048637.26
EAST,2025-04-30,1027898.45,43076535.71
EAST,2025-05-01,760977.39,43837513.1
EAST,2025-05-02,81192.28,43918705.38
EAST,2025-05-03,297321.43,44216026.81
EAST,2025-05-06,357339.07,44573365.88
EAST,2025-05-07,472683.65,45046049.53
EAST,2025-05-08,477640.07,45523689.6
EAST,2025-05-09,8597.89,45532287.49
EAST,2025-05-10,52447.03,45584734.52
EAST,2025-05-11,162872.21,45747606.73
EAST,2025-05-12,36389.04,45783995.77
EAST,2025-05-13,32631.32,45816627.09
EAST,2025-05-15,414306.22,46230933.31
EAST,2025-05-18,9035.65,46239968.96
EAST,2025-05-19,147461.29,46387430.24
EAST,2025-05-20,205672.0,46593102.25
EAST,2025-05-21,5816.5,46598918.75
EAST,2025-05-22,126785.2,46725703.95
EAST,2025-05-23,247931.8,46973635.75
EAST,2025-05-24,45213.69,47018849.44
EAST,2025-05-25,39052.78,47057902.22
EAST,2025-05-26,181069.83,47238972.05
EAST,2025-05-27,308.62,47239280.67
EAST,2025-05-28,213770.44,47453051.11
EAST,2025-05-29,18888.88,47471939.99
EAST,2025-05-30,7309.59,47479249.58
EAST,2025-05-31,378939.84,47858189.42
EAST,2025-06-02,372374.29,48230563.71
EAST,2025-06-03,530894.69,48761458.4
EAST,2025-06-04,103752.82,48865211.22
EAST,2025-06-05,270270.08,49135481.31
EAST,2025-06-06,263885.46,49399366.76
EAST,2025-06-07,168557.04,49567923.8
EAST,2025-06-08,135897.41,49703821.21
EAST,2025-06-10,566565.16,50270386.37
EAST,2025-06-11,366438.71,50636825.09
EAST,2025-06-12,400004.85,51036829.93
EAST,2025-06-13,149700.77,51186530.7
EAST,2025-06-14,142395.48,51328926.17
EAST,2025-06-15,782629.39,52111555.56
EAST,2025-06-17,534987.89,52646543.44
EAST,2025-06-18,401943.67,53048487.11
EAST,2025-06-19,742470.66,53790957.77
EAST,2025-06-20,250026.12,54040983.89
EAST,2025-06-21,609991.46,54650975.35
EAST,2025-06-22,579104.72,55230080.07
EAST,2025-06-23,860408.12,56090488.19
EAST,2025-06-24,134146.4,56224634.59
EAST,2025-06-25,427009.29,56651643.89
EAST,2025-06-26,429367.74,57081011.63
EAST,2025-06-27,596599.71,57677611.34
EAST,2025-06-28,788377.07,58465988.41
EAST,2025-06-29,212974.02,58678962.43
NORTH,2023-06-09,86914.36,86914.36
NORTH,2023-07-23,168649.76,255564.11
NORTH,2023-08-23,161198.09,416762.21
NORTH,2023-08-25,282577.38,699339.59
NORTH,2023-09-12,383813.28,1083152.87
NORTH,2023-09-17,178314.98,1261467.85
NORTH,2023-09-26,221723.36,1483191.21
NORTH,2023-09-30,29286.86,1512478.07
NORTH,2023-10-09,280250.83,1792728.9
NORTH,2023-10-15,139484.17,1932213.07
NORTH,2023-10-19,140377.07,2072590.14
NORTH,2023-10-22,78519.18,2151109.31
NORTH,2023-10-24,13549.87,2164659.19
NORTH,2023-11-01,235108.85,2399768.04
NORTH,2023-11-04,28614.15,2428382.19
NORTH,2023-11-10,440398.4,2868780.59
NORTH,2023-11-13,300618.58,3169399.17
NORTH,2023-11-18,59145.29,3228544.46
NORTH,2023-11-22,157354.11,3385898.58
NORTH,2023-11-25,197122.47,3583021.05
NORTH,2023-12-08,153983.75,3737004.79
NORTH,2023-12-20,269449.42,4006454.22
NORTH,2023-12-27,255369.95,4261824.16
NORTH,2023-12-30,205637.93,4467462.09
NORTH,2024-01-04,100389.75,4567851.84
NORTH,2024-01-07,109696.73,4677548.57
NORTH,2024-01-10,27058.63,4704607.2
NORTH,2024-01-14,167557.32,4872164.52
NORTH,2024-01-16,279920.25,5152084.76
NORTH,2024-01-31,149737.76,5301822.53
NORTH,2024-02-04,105147.89,5406970.41
NORTH,2024-02-06,91510.07,5498480.48
NORTH,2024-02-10,315536.24,5814016.72
NORTH,2024-02-17,124679.48,5938696.2
NORTH,2024-02-20,417536.15,6356232.35
NORTH,2024-02-21,344266.29,6700498.63
NORTH,2024-02-23,87898.85,6788397.48
NORTH,2024-02-28,274584.04,7062981.52
NORTH,2024-03-09,118400.8,7181382.32
NORTH,2024-03-10,43580.7,7224963.02
NORTH,2024-03-16,200490.71,7425453.73
NORTH,2024-03-19,154404.53,7579858.26
