customer_id,first_category,last_category,category_shift
115.0,Home,Books,Yes
116.0,Home,Home,No
117.0,Electronics,Electronics,No
118.0,Electronics,Clothing,Yes
119.0,Books,Books,No
120.0,Electronics,Electronics,No
121.0,Electronics,Books,Yes
122.0,Clothing,Books,Yes
123.0,Books,Electronics,Yes
124.0,Home,Home,No
125.0,Home,Electronics,Yes
126.0,Home,Books,Yes
127.0,Electronics,Electronics,No
128.0,Clothing,Clothing,No
129.0,Books,Clothing,Yes
130.0,Books,Electronics,Yes
131.0,Home,Electronics,Yes
133.0,Clothing,Electronics,Yes
134.0,Clothing,Electronics,Yes
135.0,Books,Books,No
136.0,Books,Electronics,Yes
137.0,Electronics,Electronics,No
138.0,Clothing,Clothing,No
139.0,Books,Books,No
140.0,Books,Home,Yes
141.0,Electronics,Clothing,Yes
142.0,Home,Electronics,Yes
143.0,Clothing,Home,Yes
144.0,Books,Clothing,Yes
145.0,Books,Electronics,Yes
146.0,Electronics,Clothing,Yes
147.0,Books,Home,Yes
148.0,Books,Books,No
149.0,Home,Home,No
150.0,Home,Home,No
151.0,Electronics,Books,Yes
152.0,Electronics,Home,Yes
153.0,Electronics,Home,Yes
154.0,Clothing,Electronics,Yes
155.0,Books,Clothing,Yes
156.0,Electronics,Books,Yes
157.0,Home,Electronics,Yes
158.0,Books,Clothing,Yes
159.0,Electronics,Books,Yes
160.0,Books,Electronics,Yes
161.0,Electronics,Books,Yes
162.0,Clothing,Home,Yes
164.0,Electronics,Home,Yes
165.0,Clothing,Home,Yes
166.0,Clothing,Clothing,No
167.0,Clothing,Clothing,No
168.0,Books,Books,No
169.0,Clothing,Books,Yes
170.0,Home,Electronics,Yes
171.0,Clothing,Books,Yes
172.0,Clothing,Clothing,No
173.0,Books,Electronics,Yes
174.0,Home,Home,No
175.0,Home,Books,Yes
176.0,Books,Clothing,Yes
177.0,Electronics,Clothing,Yes
178.0,Clothing,Electronics,Yes
179.0,Home,Books,Yes
180.0,Books,Home,Yes
181.0,Home,Clothing,Yes
182.0,Books,Clothing,Yes
183.0,Home,Electronics,Yes
184.0,Books,Home,Yes
185.0,Clothing,Electronics,Yes
186.0,Electronics,Electronics,No
187.0,Books,Home,Yes
188.0,Electronics,Books,Yes
189.0,Electronics,Electronics,No
190.0,Electronics,Electronics,No
191.0,Clothing,Home,Yes
192.0,Clothing,Books,Yes
193.0,Home,Clothing,Yes
194.0,Home,Clothing,Yes
195.0,Home,Home,No
196.0,Home,Home,No
197.0,Books,Books,No
198.0,Clothing,Clothing,No
199.0,Books,Books,No
200.0,Home,Home,No
201.0,Electronics,Books,Yes
202.0,Home,Books,Yes
203.0,Clothing,Home,Yes
204.0,Electronics,Electronics,No
205.0,Home,Electronics,Yes
206.0,Home,Home,No
207.0,Clothing,Books,Yes
208.0,Clothing,Electronics,Yes
209.0,Clothing,Clothing,No
210.0,Home,Books,Yes
211.0,Books,Books,No
212.0,Electronics,Home,Yes
213.0,Electronics,Books,Yes
214.0,Home,Home,No
215.0,Electronics,Books,Yes
216.0,Home,Clothing,Yes
217.0,Clothing,Home,Yes
219.0,Electronics,Home,Yes
220.0,Clothing,Home,Yes
221.0,Home,Books,Yes
222.0,Home,Clothing,Yes
223.0,Clothing,Clothing,No
224.0,Books,Books,No
225.0,Electronics,Electronics,No
226.0,Home,Electronics,Yes
227.0,Electronics,Clothing,Yes
228.0,Books,Electronics,Yes
229.0,Clothing,Clothing,No
230.0,Home,Electronics,Yes
231.0,Books,Electronics,Yes
232.0,Clothing,Books,Yes
233.0,Books,Electronics,Yes
234.0,Electronics,Books,Yes
235.0,Clothing,Clothing,No
236.0,Electronics,Electronics,No
237.0,Electronics,Electronics,No
238.0,Clothing,Electronics,Yes
239.0,Home,Home,No
240.0,Home,Home,No
241.0,Clothing,Books,Yes
242.0,Clothing,Books,Yes
243.0,Electronics,Clothing,Yes
244.0,Electronics,Electronics,No
245.0,Books,Books,No
246.0,Home,Books,Yes
247.0,Clothing,Home,Yes
248.0,Clothing,Clothing,No
249.0,Books,Home,Yes
250.0,Books,Clothing,Yes
251.0,Books,Books,No
252.0,Books,Clothing,Yes
253.0,Books,Clothing,Yes
254.0,Electronics,Clothing,Yes
255.0,Books,Books,No
256.0,Books,Electronics,Yes
257.0,Clothing,Clothing,No
259.0,Electronics,Electronics,No
260.0,Books,Electronics,Yes
261.0,Books,Electronics,Yes
262.0,Home,Books,Yes
263.0,Clothing,Books,Yes
265.0,Books,Clothing,Yes
266.0,Electronics,Electronics,No
267.0,Electronics,Books,Yes
268.0,Home,Electronics,Yes
270.0,Books,Books,No
271.0,Clothing,Electronics,Yes
272.0,Electronics,Home,Yes
273.0,Clothing,Electronics,Yes
274.0,Books,Clothing,Yes
275.0,Electronics,Electronics,No
276.0,Home,Books,Yes
277.0,Home,Clothing,Yes
278.0,Home,Electronics,Yes
279.0,Books,Clothing,Yes
281.0,Clothing,Home,Yes
282.0,Home,Home,No
283.0,Home,Books,Yes
284.0,Clothing,Clothing,No
285.0,Home,Clothing,Yes
286.0,Books,Electronics,Yes
287.0,Electronics,Books,Yes
288.0,Books,Electronics,Yes
289.0,Books,Home,Yes
290.0,Books,Clothing,Yes
291.0,Electronics,Electronics,No
292.0,Clothing,Books,Yes
293.0,Books,Clothing,Yes
294.0,Books,Books,No
295.0,Clothing,Clothing,No
296.0,Electronics,Clothing,Yes
297.0,Home,Books,Yes
298.0,Electronics,Home,Yes
299.0,Clothing,Clothing,No
300.0,Clothing,Electronics,Yes
301.0,Books,Electronics,Yes
302.0,Electronics,Clothing,Yes
303.0,Books,Books,No
304.0,Home,Clothing,Yes
305.0,Electronics,Books,Yes
306.0,Home,Home,No
307.0,Clothing,Books,Yes
308.0,Home,Books,Yes
309.0,Books,Home,Yes
310.0,Home,Home,No
311.0,Books,Clothing,Yes
312.0,Electronics,Clothing,Yes
313.0,Home,Electronics,Yes
314.0,Home,Clothing,Yes
316.0,Books,Books,No
317.0,Books,Home,Yes
318.0,Books,Electronics,Yes
319.0,Electronics,Clothing,Yes
320.0,Electronics,Electronics,No
321.0,Home,Books,Yes
322.0,Clothing,Home,Yes
323.0,Electronics,Books,Yes
324.0,Electronics,Electronics,No
325.0,Books,Electronics,Yes
326.0,Books,Books,No
327.0,Home,Books,Yes
328.0,Electronics,Home,Yes
329.0,Clothing,Home,Yes
330.0,Electronics,Books,Yes
331.0,Electronics,Clothing,Yes
332.0,Electronics,Books,Yes
333.0,Books,Books,No
334.0,Books,Home,Yes
335.0,Electronics,Clothing,Yes
336.0,Clothing,Home,Yes
337.0,Clothing,Books,Yes
338.0,Electronics,Books,Yes
339.0,Clothing,Clothing,No
340.0,Electronics,Clothing,Yes
341.0,Electronics,Home,Yes
342.0,Electronics,Electronics,No
343.0,Books,Electronics,Yes
344.0,Books,Clothing,Yes
345.0,Home,Books,Yes
346.0,Books,Books,No
347.0,Electronics,Electronics,No
348.0,Home,Home,No
349.0,Books,Electronics,Yes
350.0,Books,Electronics,Yes
351.0,Books,Books,No
352.0,Books,Books,No
353.0,Clothing,Home,Yes
354.0,Clothing,Home,Yes
355.0,Electronics,Books,Yes
356.0,Electronics,Home,Yes
357.0,Clothing,Electronics,Yes
358.0,Books,Clothing,Yes
359.0,Electronics,Books,Yes
360.0,Books,Electronics,Yes
361.0,Clothing,Electronics,Yes
362.0,Books,Books,No
363.0,Home,Electronics,Yes
364.0,Books,Home,Yes
365.0,Electronics,Electronics,No
366.0,Books,Clothing,Yes
367.0,Clothing,Books,Yes
368.0,Books,Electronics,Yes
369.0,Electronics,Home,Yes
370.0,Books,Books,No
371.0,Clothing,Books,Yes
372.0,Electronics,Clothing,Yes
373.0,Clothing,Home,Yes
374.0,Clothing,Electronics,Yes
375.0,Electronics,Books,Yes
376.0,Electronics,Books,Yes
377.0,Clothing,Clothing,No
378.0,Electronics,Home,Yes
379.0,Home,Books,Yes
380.0,Home,Books,Yes
381.0,Home,Home,No
382.0,Home,Books,Yes
383.0,Home,Books,Yes
384.0,Home,Books,Yes
385.0,Home,Home,No
386.0,Books,Home,Yes
387.0,Home,Books,Yes
388.0,Home,Home,No
389.0,Electronics,Electronics,No
390.0,Electronics,Electronics,No
391.0,Clothing,Books,Yes
392.0,Clothing,Clothing,No
393.0,Electronics,Clothing,Yes
394.0,Home,Electronics,Yes
395.0,Books,Clothing,Yes
396.0,Clothing,Books,Yes
397.0,Clothing,Home,Yes
398.0,Electronics,Electronics,No
399.0,Clothing,Electronics,Yes
400.0,Books,Clothing,Yes
401.0,Electronics,Clothing,Yes
402.0,Electronics,Home,Yes
403.0,Clothing,Clothing,No
404.0,Home,Electronics,Yes
405.0,Books,Electronics,Yes
406.0,Electronics,Home,Yes
407.0,Home,Home,No
408.0,Books,Home,Yes
409.0,Books,Electronics,Yes
410.0,Clothing,Home,Yes
411.0,Books,Clothing,Yes
412.0,Clothing,Clothing,No
413.0,Books,Books,No
414.0,Books,Electronics,Yes
415.0,Home,Books,Yes
416.0,Books,Books,No
417.0,Home,Home,No
418.0,Books,Books,No
419.0,Clothing,Clothing,No
420.0,Books,Electronics,Yes
421.0,Books,Clothing,Yes
422.0,Home,Books,Yes
423.0,Home,Electronics,Yes
424.0,Electronics,Clothing,Yes
425.0,Clothing,Electronics,Yes
426.0,Clothing,Home,Yes
427.0,Electronics,Books,Yes
428.0,Books,Home,Yes
429.0,Electronics,Electronics,No
430.0,Electronics,Books,Yes
431.0,Clothing,Home,Yes
432.0,Electronics,Books,Yes
433.0,Electronics,Home,Yes
434.0,Electronics,Books,Yes
435.0,Home,Clothing,Yes
436.0,Books,Home,Yes
437.0,Electronics,Home,Yes
438.0,Home,Books,Yes
439.0,Electronics,Home,Yes
440.0,Home,Electronics,Yes
441.0,Home,Electronics,Yes
442.0,Books,Clothing,Yes
443.0,Electronics,Books,Yes
444.0,Books,Clothing,Yes
445.0,Electronics,Home,Yes
446.0,Clothing,Home,Yes
447.0,Electronics,Clothing,Yes
448.0,Electronics,Home,Yes
449.0,Clothing,Clothing,No
450.0,Clothing,Clothing,No
451.0,Books,Books,No
452.0,Clothing,Clothing,No
453.0,Books,Books,No
454.0,Books,Electronics,Yes
455.0,Books,Clothing,Yes
456.0,Home,Books,Yes
457.0,Home,Books,Yes
458.0,Electronics,Electronics,No
459.0,Electronics,Electronics,No
460.0,Books,Books,No
461.0,Home,Electronics,Yes
462.0,Home,Books,Yes
463.0,Books,Home,Yes
464.0,Clothing,Home,Yes
465.0,Clothing,Electronics,Yes
466.0,Electronics,Books,Yes
467.0,Home,Home,No
468.0,Home,Home,No
469.0,Books,Electronics,Yes
471.0,Electronics,Electronics,No
472.0,Electronics,Home,Yes
473.0,Home,Home,No
474.0,Electronics,Electronics,No
475.0,Clothing,Electronics,Yes
476.0,Electronics,Home,Yes
477.0,Books,Books,No
478.0,Clothing,Home,Yes
479.0,Books,Electronics,Yes
480.0,Electronics,Clothing,Yes
481.0,Clothing,Home,Yes
482.0,Clothing,Books,Yes
483.0,Clothing,Clothing,No
484.0,Books,Books,No
485.0,Home,Home,No
486.0,Electronics,Books,Yes
487.0,Home,Electronics,Yes
488.0,Home,Home,No
489.0,Books,Books,No
491.0,Home,Clothing,Yes
492.0,Electronics,Clothing,Yes
493.0,Home,Clothing,Yes
494.0,Home,Home,No
495.0,Electronics,Home,Yes
496.0,Home,Clothing,Yes
497.0,Clothing,Clothing,No
498.0,Clothing,Books,Yes
499.0,Home,Books,Yes
500.0,Books,Books,No
501.0,Home,Home,No
502.0,Clothing,Electronics,Yes
503.0,Electronics,Clothing,Yes
504.0,Home,Electronics,Yes
505.0,Home,Electronics,Yes
506.0,Electronics,Books,Yes
507.0,Books,Clothing,Yes
508.0,Books,Home,Yes
509.0,Clothing,Home,Yes
510.0,Home,Electronics,Yes
511.0,Books,Home,Yes
512.0,Books,Books,No
513.0,Books,Home,Yes
514.0,Books,Electronics,Yes
515.0,Electronics,Clothing,Yes
516.0,Electronics,Books,Yes
517.0,Home,Clothing,Yes
518.0,Books,Electronics,Yes
519.0,Clothing,Books,Yes
520.0,Books,Home,Yes
521.0,Books,Electronics,Yes
522.0,Books,Books,No
523.0,Electronics,Clothing,Yes
524.0,Books,Home,Yes
525.0,Clothing,Home,Yes
526.0,Clothing,Home,Yes
527.0,Clothing,Home,Yes
528.0,Home,Electronics,Yes
529.0,Clothing,Clothing,No
530.0,Electronics,Electronics,No
531.0,Books,Books,No
532.0,Clothing,Books,Yes
534.0,Clothing,Electronics,Yes
535.0,Electronics,Clothing,Yes
536.0,Books,Clothing,Yes
537.0,Home,Clothing,Yes
538.0,Clothing,Books,Yes
539.0,Home,Clothing,Yes
540.0,Home,Home,No
541.0,Books,Electronics,Yes
543.0,Home,Electronics,Yes
544.0,Electronics,Home,Yes
545.0,Clothing,Home,Yes
546.0,Electronics,Home,Yes
547.0,Clothing,Books,Yes
548.0,Electronics,Books,Yes
549.0,Books,Clothing,Yes
551.0,Books,Electronics,Yes
552.0,Home,Home,No
553.0,Home,Books,Yes
554.0,Electronics,Home,Yes
555.0,Books,Electronics,Yes
556.0,Books,Electronics,Yes
557.0,Books,Clothing,Yes
558.0,Books,Clothing,Yes
559.0,Clothing,Home,Yes
560.0,Books,Books,No
561.0,Clothing,Books,Yes
562.0,Home,Home,No
563.0,Home,Electronics,Yes
564.0,Books,Home,Yes
565.0,Books,Home,Yes
566.0,Clothing,Electronics,Yes
567.0,Books,Electronics,Yes
568.0,Electronics,Home,Yes
569.0,Clothing,Home,Yes
570.0,Home,Electronics,Yes
571.0,Clothing,Home,Yes
572.0,Electronics,Electronics,No
573.0,Books,Books,No
574.0,Home,Electronics,Yes
575.0,Electronics,Home,Yes
576.0,Books,Clothing,Yes
577.0,Books,Electronics,Yes
578.0,Home,Books,Yes
579.0,Electronics,Home,Yes
580.0,Electronics,Home,Yes
581.0,Home,Books,Yes
582.0,Clothing,Clothing,No
583.0,Clothing,Electronics,Yes
584.0,Home,Books,Yes
585.0,Electronics,Books,Yes
586.0,Electronics,Books,Yes
587.0,Books,Books,No
588.0,Clothing,Clothing,No
589.0,Home,Clothing,Yes
590.0,Electronics,Electronics,No
591.0,Clothing,Clothing,No
592.0,Books,Electronics,Yes
593.0,Home,Home,No
594.0,Electronics,Electronics,No
595.0,Electronics,Home,Yes
596.0,Electronics,Electronics,No
597.0,Books,Books,No
598.0,Books,Clothing,Yes
599.0,Books,Electronics,Yes
600.0,Electronics,Electronics,No
