customer_id,order_date,previous_order_date,days_gap,risk_flag
13.0,2025-05-02,2025-04-27,5.0,Healthy
13.0,2025-05-28,2025-05-02,26.0,Healthy
13.0,2025-06-16,2025-05-28,19.0,Healthy
14.0,2024-12-19,,,At Risk
14.0,2025-02-16,2024-12-19,59.0,At Risk
16.0,2025-05-21,,,At Risk
16.0,2025-06-26,2025-05-21,36.0,At Risk
17.0,2025-02-10,,,At Risk
17.0,2025-03-10,2025-02-10,28.0,At Risk
17.0,2025-06-06,2025-03-10,88.0,At Risk
17.0,2025-06-18,2025-06-06,12.0,At Risk
18.0,2025-04-24,,,Healthy
18.0,2025-05-03,2025-04-24,9.0,Healthy
19.0,2024-08-23,,,At Risk
19.0,2024-09-15,2024-08-23,23.0,At Risk
19.0,2025-05-31,2024-09-15,258.0,At Risk
20.0,2024-05-24,,,At Risk
20.0,2024-10-26,2024-05-24,155.0,At Risk
20.0,2024-12-31,2024-10-26,66.0,At Risk
20.0,2025-05-19,2024-12-31,139.0,At Risk
20.0,2025-06-08,2025-05-19,20.0,At Risk
21.0,2024-04-20,,,At Risk
21.0,2024-07-23,2024-04-20,94.0,At Risk
21.0,2025-01-13,2024-07-23,174.0,At Risk
21.0,2025-06-12,2025-01-13,150.0,At Risk
21.0,2025-06-27,2025-06-12,15.0,At Risk
22.0,2025-06-02,,,Healthy
22.0,2025-06-08,2025-06-02,6.0,Healthy
22.0,2025-06-08,2025-06-08,0.0,Healthy
24.0,2024-03-16,,,At Risk
24.0,2024-03-25,2024-03-16,9.0,At Risk
24.0,2025-02-20,2024-03-25,332.0,At Risk
25.0,2025-06-10,,,Healthy
25.0,2025-06-18,2025-06-10,8.0,Healthy
25.0,2025-06-29,2025-06-18,11.0,Healthy
26.0,2025-01-06,,,At Risk
26.0,2025-04-09,2025-01-06,93.0,At Risk
26.0,2025-04-16,2025-04-09,7.0,At Risk
26.0,2025-04-19,2025-04-16,3.0,At Risk
26.0,2025-05-19,2025-04-19,30.0,At Risk
27.0,2023-12-28,,,At Risk
27.0,2024-04-26,2023-12-28,120.0,At Risk
27.0,2025-03-03,2024-04-26,311.0,At Risk
27.0,2025-06-19,2025-03-03,108.0,At Risk
28.0,2024-09-10,,,At Risk
28.0,2025-06-26,2024-09-10,289.0,At Risk
29.0,2025-05-24,,,Healthy
29.0,2025-06-13,2025-05-24,20.0,Healthy
29.0,2025-06-25,2025-06-13,12.0,Healthy
29.0,2025-06-26,2025-06-25,1.0,Healthy
30.0,2024-06-03,,,At Risk
30.0,2025-02-10,2024-06-03,252.0,At Risk
30.0,2025-05-25,2025-02-10,104.0,At Risk
31.0,2025-04-29,,,Healthy
31.0,2025-06-09,2025-04-29,41.0,Healthy
31.0,2025-06-10,2025-06-09,1.0,Healthy
32.0,2024-11-11,,,Healthy
32.0,2024-12-25,2024-11-11,44.0,Healthy
32.0,2024-12-27,2024-12-25,2.0,Healthy
33.0,2024-08-28,,,At Risk
33.0,2024-09-06,2024-08-28,9.0,At Risk
33.0,2024-11-28,2024-09-06,83.0,At Risk
33.0,2025-01-06,2024-11-28,39.0,At Risk
33.0,2025-03-13,2025-01-06,66.0,At Risk
34.0,2025-05-15,,,Healthy
34.0,2025-06-10,2025-05-15,26.0,Healthy
34.0,2025-06-22,2025-06-10,12.0,Healthy
35.0,2023-10-15,,,At Risk
35.0,2024-05-02,2023-10-15,200.0,At Risk
35.0,2024-05-23,2024-05-02,21.0,At Risk
36.0,2024-03-13,,,At Risk
36.0,2024-10-14,2024-03-13,215.0,At Risk
36.0,2025-02-06,2024-10-14,115.0,At Risk
37.0,2023-10-18,,,At Risk
37.0,2023-12-14,2023-10-18,57.0,At Risk
37.0,2024-06-27,2023-12-14,196.0,At Risk
37.0,2024-10-01,2024-06-27,96.0,At Risk
37.0,2025-03-11,2024-10-01,161.0,At Risk
37.0,2025-03-25,2025-03-11,14.0,At Risk
37.0,2025-03-26,2025-03-25,1.0,At Risk
39.0,2024-11-29,,,At Risk
39.0,2025-01-09,2024-11-29,41.0,At Risk
39.0,2025-03-23,2025-01-09,73.0,At Risk
40.0,2025-05-11,,,Healthy
40.0,2025-05-21,2025-05-11,10.0,Healthy
40.0,2025-06-23,2025-05-21,33.0,Healthy
40.0,2025-06-27,2025-06-23,4.0,Healthy
41.0,2023-10-23,,,At Risk
41.0,2023-12-11,2023-10-23,49.0,At Risk
41.0,2024-05-16,2023-12-11,157.0,At Risk
41.0,2024-06-05,2024-05-16,20.0,At Risk
41.0,2024-06-10,2024-06-05,5.0,At Risk
41.0,2024-10-20,2024-06-10,132.0,At Risk
41.0,2024-11-14,2024-10-20,25.0,At Risk
41.0,2025-02-08,2024-11-14,86.0,At Risk
41.0,2025-03-22,2025-02-08,42.0,At Risk
41.0,2025-04-24,2025-03-22,33.0,At Risk
42.0,2024-02-17,,,At Risk
42.0,2024-02-26,2024-02-17,9.0,At Risk
42.0,2024-04-11,2024-02-26,45.0,At Risk
42.0,2024-05-28,2024-04-11,47.0,At Risk
42.0,2024-11-21,2024-05-28,177.0,At Risk
43.0,2024-03-29,,,At Risk
43.0,2025-02-11,2024-03-29,319.0,At Risk
43.0,2025-04-30,2025-02-11,78.0,At Risk
44.0,2025-06-15,,,Healthy
44.0,2025-06-24,2025-06-15,9.0,Healthy
44.0,2025-06-27,2025-06-24,3.0,Healthy
45.0,2025-06-24,,,Healthy
45.0,2025-06-29,2025-06-24,5.0,Healthy
46.0,2025-05-15,,,Healthy
46.0,2025-05-18,2025-05-15,3.0,Healthy
46.0,2025-05-29,2025-05-18,11.0,Healthy
46.0,2025-05-31,2025-05-29,2.0,Healthy
46.0,2025-05-31,2025-05-31,0.0,Healthy
46.0,2025-06-01,2025-05-31,1.0,Healthy
46.0,2025-06-03,2025-06-01,2.0,Healthy
46.0,2025-06-17,2025-06-03,14.0,Healthy
46.0,2025-06-18,2025-06-17,1.0,Healthy
47.0,2025-03-16,,,At Risk
47.0,2025-05-13,2025-03-16,58.0,At Risk
47.0,2025-05-31,2025-05-13,18.0,At Risk
47.0,2025-06-18,2025-05-31,18.0,At Risk
49.0,2025-06-16,,,Healthy
49.0,2025-06-17,2025-06-16,1.0,Healthy
50.0,2025-01-14,,,Healthy
50.0,2025-02-12,2025-01-14,29.0,Healthy
50.0,2025-03-07,2025-02-12,23.0,Healthy
53.0,2024-07-28,,,At Risk
53.0,2025-02-25,2024-07-28,212.0,At Risk
54.0,2023-11-05,,,At Risk
54.0,2023-11-20,2023-11-05,15.0,At Risk
54.0,2023-12-08,2023-11-20,18.0,At Risk
54.0,2024-04-20,2023-12-08,134.0,At Risk
55.0,2025-03-04,,,At Risk
55.0,2025-05-01,2025-03-04,58.0,At Risk
56.0,2024-11-27,,,Healthy
56.0,2024-11-29,2024-11-27,2.0,Healthy
56.0,2025-01-02,2024-11-29,34.0,Healthy
56.0,2025-01-27,2025-01-02,25.0,Healthy
56.0,2025-02-19,2025-01-27,23.0,Healthy
56.0,2025-02-20,2025-02-19,1.0,Healthy
56.0,2025-03-03,2025-02-20,11.0,Healthy
57.0,2024-03-26,,,At Risk
57.0,2024-08-19,2024-03-26,146.0,At Risk
57.0,2025-02-04,2024-08-19,169.0,At Risk
58.0,2025-06-26,,,Healthy
58.0,2025-06-27,2025-06-26,1.0,Healthy
58.0,2025-06-28,2025-06-27,1.0,Healthy
58.0,2025-06-28,2025-06-28,0.0,Healthy
58.0,2025-06-29,2025-06-28,1.0,Healthy
59.0,2025-04-03,,,Healthy
59.0,2025-04-18,2025-04-03,15.0,Healthy
59.0,2025-05-10,2025-04-18,22.0,Healthy
59.0,2025-05-23,2025-05-10,13.0,Healthy
59.0,2025-06-19,2025-05-23,27.0,Healthy
59.0,2025-06-25,2025-06-19,6.0,Healthy
60.0,2025-05-13,,,At Risk
60.0,2025-06-15,2025-05-13,33.0,At Risk
61.0,2024-08-22,,,At Risk
61.0,2025-05-08,2024-08-22,259.0,At Risk
61.0,2025-05-24,2025-05-08,16.0,At Risk
62.0,2024-03-25,,,At Risk
62.0,2024-07-17,2024-03-25,114.0,At Risk
63.0,2024-09-11,,,At Risk
63.0,2024-09-24,2024-09-11,13.0,At Risk
63.0,2024-10-04,2024-09-24,10.0,At Risk
63.0,2024-11-18,2024-10-04,45.0,At Risk
63.0,2025-02-17,2024-11-18,91.0,At Risk
64.0,2023-12-06,,,At Risk
64.0,2025-03-11,2023-12-06,461.0,At Risk
64.0,2025-05-19,2025-03-11,69.0,At Risk
65.0,2023-12-12,,,At Risk
65.0,2025-02-15,2023-12-12,431.0,At Risk
66.0,2024-09-03,,,At Risk
66.0,2025-01-26,2024-09-03,145.0,At Risk
67.0,2024-11-18,,,Healthy
67.0,2024-12-17,2024-11-18,29.0,Healthy
67.0,2024-12-20,2024-12-17,3.0,Healthy
67.0,2024-12-30,2024-12-20,10.0,Healthy
67.0,2025-03-13,2024-12-30,73.0,Healthy
67.0,2025-03-14,2025-03-13,1.0,Healthy
67.0,2025-04-09,2025-03-14,26.0,Healthy
68.0,2025-01-21,,,At Risk
68.0,2025-03-04,2025-01-21,42.0,At Risk
68.0,2025-03-24,2025-03-04,20.0,At Risk
69.0,2024-07-17,,,At Risk
69.0,2024-08-19,2024-07-17,33.0,At Risk
70.0,2024-05-16,,,At Risk
70.0,2025-04-22,2024-05-16,341.0,At Risk
71.0,2024-09-18,,,At Risk
71.0,2024-10-25,2024-09-18,37.0,At Risk
71.0,2025-03-13,2024-10-25,139.0,At Risk
72.0,2025-04-01,,,At Risk
72.0,2025-05-23,2025-04-01,52.0,At Risk
72.0,2025-06-27,2025-05-23,35.0,At Risk
73.0,2024-10-19,,,At Risk
73.0,2025-02-08,2024-10-19,112.0,At Risk
73.0,2025-04-15,2025-02-08,66.0,At Risk
73.0,2025-06-09,2025-04-15,55.0,At Risk
73.0,2025-06-15,2025-06-09,6.0,At Risk
74.0,2024-04-11,,,At Risk
74.0,2024-06-17,2024-04-11,67.0,At Risk
75.0,2024-03-16,,,At Risk
75.0,2024-04-11,2024-03-16,26.0,At Risk
75.0,2024-04-17,2024-04-11,6.0,At Risk
75.0,2024-10-03,2024-04-17,169.0,At Risk
75.0,2025-01-08,2024-10-03,97.0,At Risk
75.0,2025-05-03,2025-01-08,115.0,At Risk
77.0,2025-04-12,,,Healthy
77.0,2025-04-24,2025-04-12,12.0,Healthy
77.0,2025-05-28,2025-04-24,34.0,Healthy
78.0,2025-04-18,,,Healthy
78.0,2025-04-19,2025-04-18,1.0,Healthy
78.0,2025-05-03,2025-04-19,14.0,Healthy
78.0,2025-05-31,2025-05-03,28.0,Healthy
78.0,2025-06-20,2025-05-31,20.0,Healthy
79.0,2024-10-19,,,At Risk
79.0,2024-11-17,2024-10-19,29.0,At Risk
79.0,2024-11-30,2024-11-17,13.0,At Risk
79.0,2025-01-04,2024-11-30,35.0,At Risk
79.0,2025-01-20,2025-01-04,16.0,At Risk
79.0,2025-05-08,2025-01-20,108.0,At Risk
80.0,2025-06-24,,,Healthy
80.0,2025-06-25,2025-06-24,1.0,Healthy
80.0,2025-06-27,2025-06-25,2.0,Healthy
80.0,2025-06-28,2025-06-27,1.0,Healthy
80.0,2025-06-28,2025-06-28,0.0,Healthy
80.0,2025-06-29,2025-06-28,1.0,Healthy
81.0,2024-01-30,,,At Risk
81.0,2024-08-19,2024-01-30,202.0,At Risk
81.0,2024-10-02,2024-08-19,44.0,At Risk
81.0,2024-12-23,2024-10-02,82.0,At Risk
81.0,2025-01-10,2024-12-23,18.0,At Risk
81.0,2025-03-14,2025-01-10,63.0,At Risk
82.0,2024-03-03,,,At Risk
82.0,2024-03-09,2024-03-03,6.0,At Risk
82.0,2024-11-11,2024-03-09,247.0,At Risk
84.0,2024-03-13,,,At Risk
84.0,2024-07-27,2024-03-13,136.0,At Risk
85.0,2024-03-21,,,Healthy
85.0,2024-03-22,2024-03-21,1.0,Healthy
85.0,2024-04-11,2024-03-22,20.0,Healthy
86.0,2025-03-03,,,Healthy
86.0,2025-03-10,2025-03-03,7.0,Healthy
86.0,2025-03-19,2025-03-10,9.0,Healthy
86.0,2025-03-21,2025-03-19,2.0,Healthy
86.0,2025-05-13,2025-03-21,53.0,Healthy
87.0,2023-11-10,,,At Risk
87.0,2023-11-14,2023-11-10,4.0,At Risk
87.0,2024-01-11,2023-11-14,58.0,At Risk
87.0,2024-04-08,2024-01-11,88.0,At Risk
87.0,2024-06-30,2024-04-08,83.0,At Risk
87.0,2024-11-17,2024-06-30,140.0,At Risk
87.0,2025-02-15,2024-11-17,90.0,At Risk
87.0,2025-03-04,2025-02-15,17.0,At Risk
87.0,2025-06-15,2025-03-04,103.0,At Risk
88.0,2024-05-20,,,At Risk
88.0,2024-09-30,2024-05-20,133.0,At Risk
88.0,2025-03-06,2024-09-30,157.0,At Risk
89.0,2025-03-21,,,Healthy
89.0,2025-04-03,2025-03-21,13.0,Healthy
90.0,2024-07-13,,,At Risk
90.0,2024-11-19,2024-07-13,129.0,At Risk
90.0,2025-01-28,2024-11-19,70.0,At Risk
91.0,2023-10-06,,,At Risk
91.0,2024-02-06,2023-10-06,123.0,At Risk
91.0,2024-09-05,2024-02-06,212.0,At Risk
92.0,2025-04-13,,,At Risk
92.0,2025-06-07,2025-04-13,55.0,At Risk
92.0,2025-06-15,2025-06-07,8.0,At Risk
93.0,2025-02-11,,,Healthy
93.0,2025-03-27,2025-02-11,44.0,Healthy
93.0,2025-04-09,2025-03-27,13.0,Healthy
94.0,2025-06-01,,,Healthy
94.0,2025-06-05,2025-06-01,4.0,Healthy
95.0,2025-01-10,,,At Risk
95.0,2025-03-31,2025-01-10,80.0,At Risk
96.0,2024-11-09,,,At Risk
96.0,2025-01-17,2024-11-09,69.0,At Risk
96.0,2025-01-20,2025-01-17,3.0,At Risk
97.0,2025-06-18,,,Healthy
97.0,2025-06-21,2025-06-18,3.0,Healthy
98.0,2024-05-15,,,At Risk
98.0,2024-12-01,2024-05-15,200.0,At Risk
98.0,2025-03-16,2024-12-01,105.0,At Risk
98.0,2025-05-01,2025-03-16,46.0,At Risk
98.0,2025-05-07,2025-05-01,6.0,At Risk
98.0,2025-05-10,2025-05-07,3.0,At Risk
99.0,2024-11-22,,,At Risk
99.0,2024-12-21,2024-11-22,29.0,At Risk
99.0,2025-01-16,2024-12-21,26.0,At Risk
99.0,2025-03-25,2025-01-16,68.0,At Risk
99.0,2025-04-16,2025-03-25,22.0,At Risk
99.0,2025-05-25,2025-04-16,39.0,At Risk
100.0,2025-05-23,,,Healthy
100.0,2025-05-23,2025-05-23,0.0,Healthy
100.0,2025-05-26,2025-05-23,3.0,Healthy
100.0,2025-06-02,2025-05-26,7.0,Healthy
100.0,2025-06-05,2025-06-02,3.0,Healthy
100.0,2025-06-07,2025-06-05,2.0,Healthy
100.0,2025-06-13,2025-06-07,6.0,Healthy
100.0,2025-06-24,2025-06-13,11.0,Healthy
101.0,2024-06-29,,,At Risk
101.0,2024-08-21,2024-06-29,53.0,At Risk
101.0,2024-12-09,2024-08-21,110.0,At Risk
101.0,2025-03-14,2024-12-09,95.0,At Risk
101.0,2025-06-25,2025-03-14,103.0,At Risk
102.0,2023-09-23,,,At Risk
102.0,2023-10-24,2023-09-23,31.0,At Risk
102.0,2023-12-14,2023-10-24,51.0,At Risk
102.0,2024-01-30,2023-12-14,47.0,At Risk
102.0,2024-10-10,2024-01-30,254.0,At Risk
103.0,2024-07-15,,,At Risk
103.0,2024-07-19,2024-07-15,4.0,At Risk
103.0,2025-01-12,2024-07-19,177.0,At Risk
104.0,2024-01-10,,,At Risk
104.0,2024-01-31,2024-01-10,21.0,At Risk
104.0,2024-02-17,2024-01-31,17.0,At Risk
104.0,2024-12-19,2024-02-17,306.0,At Risk
104.0,2025-01-27,2024-12-19,39.0,At Risk
104.0,2025-06-25,2025-01-27,149.0,At Risk
105.0,2023-10-06,,,At Risk
105.0,2023-12-20,2023-10-06,75.0,At Risk
105.0,2024-01-11,2023-12-20,22.0,At Risk
106.0,2024-02-12,,,At Risk
106.0,2024-02-17,2024-02-12,5.0,At Risk
106.0,2024-11-19,2024-02-17,276.0,At Risk
106.0,2025-03-31,2024-11-19,132.0,At Risk
106.0,2025-04-18,2025-03-31,18.0,At Risk
107.0,2024-11-08,,,At Risk
107.0,2024-11-19,2024-11-08,11.0,At Risk
107.0,2025-02-02,2024-11-19,75.0,At Risk
107.0,2025-02-11,2025-02-02,9.0,At Risk
107.0,2025-05-22,2025-02-11,100.0,At Risk
108.0,2025-02-18,,,At Risk
108.0,2025-05-30,2025-02-18,101.0,At Risk
108.0,2025-06-03,2025-05-30,4.0,At Risk
109.0,2025-06-04,,,Healthy
109.0,2025-06-06,2025-06-04,2.0,Healthy
109.0,2025-06-14,2025-06-06,8.0,Healthy
109.0,2025-06-23,2025-06-14,9.0,Healthy
109.0,2025-06-26,2025-06-23,3.0,Healthy
109.0,2025-06-27,2025-06-26,1.0,Healthy
110.0,2025-04-22,,,Healthy
110.0,2025-04-30,2025-04-22,8.0,Healthy
110.0,2025-05-02,2025-04-30,2.0,Healthy
110.0,2025-05-03,2025-05-02,1.0,Healthy
110.0,2025-05-04,2025-05-03,1.0,Healthy
110.0,2025-05-07,2025-05-04,3.0,Healthy
111.0,2024-01-14,,,At Risk
111.0,2024-02-02,2024-01-14,19.0,At Risk
111.0,2024-11-01,2024-02-02,273.0,At Risk
111.0,2025-04-13,2024-11-01,163.0,At Risk
112.0,2024-06-30,,,At Risk
112.0,2025-01-27,2024-06-30,211.0,At Risk
112.0,2025-05-10,2025-01-27,103.0,At Risk
112.0,2025-05-30,2025-05-10,20.0,At Risk
113.0,2024-04-27,,,At Risk
113.0,2024-06-14,2024-04-27,48.0,At Risk
113.0,2024-09-01,2024-06-14,79.0,At Risk
113.0,2024-12-07,2024-09-01,97.0,At Risk
113.0,2025-01-29,2024-12-07,53.0,At Risk
113.0,2025-04-12,2025-01-29,73.0,At Risk
114.0,2025-05-16,,,Healthy
114.0,2025-05-21,2025-05-16,5.0,Healthy
114.0,2025-06-07,2025-05-21,17.0,Healthy
114.0,2025-06-12,2025-06-07,5.0,Healthy
114.0,2025-06-19,2025-06-12,7.0,Healthy
115.0,2024-07-03,,,At Risk
115.0,2024-09-03,2024-07-03,62.0,At Risk
115.0,2025-01-12,2024-09-03,131.0,At Risk
115.0,2025-01-27,2025-01-12,15.0,At Risk
116.0,2024-08-20,,,At Risk
116.0,2025-05-08,2024-08-20,261.0,At Risk
118.0,2025-01-13,,,At Risk
118.0,2025-04-10,2025-01-13,87.0,At Risk
119.0,2024-03-24,,,At Risk
119.0,2024-10-05,2024-03-24,195.0,At Risk
119.0,2024-10-15,2024-10-05,10.0,At Risk
121.0,2025-01-17,,,Healthy
121.0,2025-03-07,2025-01-17,49.0,Healthy
121.0,2025-03-15,2025-03-07,8.0,Healthy
121.0,2025-06-12,2025-03-15,89.0,Healthy
121.0,2025-06-18,2025-06-12,6.0,Healthy
121.0,2025-06-21,2025-06-18,3.0,Healthy
121.0,2025-06-23,2025-06-21,2.0,Healthy
122.0,2024-02-11,,,At Risk
122.0,2024-03-20,2024-02-11,38.0,At Risk
122.0,2024-11-27,2024-03-20,252.0,At Risk
122.0,2025-02-02,2024-11-27,67.0,At Risk
123.0,2025-02-18,,,At Risk
123.0,2025-05-05,2025-02-18,76.0,At Risk
123.0,2025-06-14,2025-05-05,40.0,At Risk
124.0,2024-08-27,,,At Risk
124.0,2025-04-10,2024-08-27,226.0,At Risk
124.0,2025-04-21,2025-04-10,11.0,At Risk
125.0,2023-12-23,,,At Risk
125.0,2025-02-18,2023-12-23,423.0,At Risk
126.0,2025-05-22,,,Healthy
126.0,2025-05-30,2025-05-22,8.0,Healthy
127.0,2023-12-08,,,At Risk
127.0,2025-02-10,2023-12-08,430.0,At Risk
128.0,2023-12-16,,,At Risk
128.0,2023-12-18,2023-12-16,2.0,At Risk
128.0,2023-12-24,2023-12-18,6.0,At Risk
128.0,2024-05-31,2023-12-24,159.0,At Risk
128.0,2024-11-01,2024-05-31,154.0,At Risk
129.0,2025-04-24,,,Healthy
129.0,2025-04-28,2025-04-24,4.0,Healthy
130.0,2025-05-21,,,Healthy
130.0,2025-05-31,2025-05-21,10.0,Healthy
130.0,2025-06-03,2025-05-31,3.0,Healthy
130.0,2025-06-12,2025-06-03,9.0,Healthy
130.0,2025-06-22,2025-06-12,10.0,Healthy
131.0,2025-02-19,,,At Risk
131.0,2025-03-20,2025-02-19,29.0,At Risk
131.0,2025-05-20,2025-03-20,61.0,At Risk
131.0,2025-05-23,2025-05-20,3.0,At Risk
131.0,2025-06-25,2025-05-23,33.0,At Risk
133.0,2024-01-04,,,At Risk
133.0,2024-07-30,2024-01-04,208.0,At Risk
133.0,2024-10-12,2024-07-30,74.0,At Risk
133.0,2024-12-05,2024-10-12,54.0,At Risk
134.0,2024-05-31,,,At Risk
134.0,2024-06-11,2024-05-31,11.0,At Risk
134.0,2025-02-19,2024-06-11,253.0,At Risk
134.0,2025-06-13,2025-02-19,114.0,At Risk
135.0,2024-12-18,,,At Risk
135.0,2025-02-01,2024-12-18,45.0,At Risk
135.0,2025-03-12,2025-02-01,39.0,At Risk
136.0,2025-05-07,,,Healthy
136.0,2025-05-11,2025-05-07,4.0,Healthy
136.0,2025-05-15,2025-05-11,4.0,Healthy
136.0,2025-05-25,2025-05-15,10.0,Healthy
136.0,2025-06-14,2025-05-25,20.0,Healthy
137.0,2024-07-12,,,At Risk
137.0,2024-09-03,2024-07-12,53.0,At Risk
137.0,2025-03-10,2024-09-03,188.0,At Risk
138.0,2024-02-03,,,Healthy
138.0,2024-02-06,2024-02-03,3.0,Healthy
138.0,2024-03-29,2024-02-06,52.0,Healthy
140.0,2025-03-17,,,At Risk
140.0,2025-03-22,2025-03-17,5.0,At Risk
140.0,2025-05-19,2025-03-22,58.0,At Risk
141.0,2023-11-05,,,At Risk
141.0,2025-02-23,2023-11-05,476.0,At Risk
142.0,2025-03-06,,,At Risk
142.0,2025-03-08,2025-03-06,2.0,At Risk
142.0,2025-06-12,2025-03-08,96.0,At Risk
143.0,2023-12-04,,,At Risk
143.0,2024-04-08,2023-12-04,126.0,At Risk
143.0,2025-05-08,2024-04-08,395.0,At Risk
144.0,2025-02-28,,,At Risk
144.0,2025-04-29,2025-02-28,60.0,At Risk
144.0,2025-06-14,2025-04-29,46.0,At Risk
145.0,2024-09-19,,,At Risk
145.0,2024-10-22,2024-09-19,33.0,At Risk
146.0,2023-11-22,,,At Risk
146.0,2024-07-22,2023-11-22,243.0,At Risk
146.0,2024-08-10,2024-07-22,19.0,At Risk
146.0,2024-09-10,2024-08-10,31.0,At Risk
146.0,2025-03-31,2024-09-10,202.0,At Risk
146.0,2025-04-12,2025-03-31,12.0,At Risk
147.0,2023-09-20,,,At Risk
147.0,2024-03-21,2023-09-20,183.0,At Risk
147.0,2025-01-17,2024-03-21,302.0,At Risk
150.0,2025-06-07,,,Healthy
150.0,2025-06-22,2025-06-07,15.0,Healthy
150.0,2025-06-24,2025-06-22,2.0,Healthy
150.0,2025-06-24,2025-06-24,0.0,Healthy
150.0,2025-06-24,2025-06-24,0.0,Healthy
151.0,2024-05-20,,,At Risk
151.0,2024-12-08,2024-05-20,202.0,At Risk
152.0,2025-05-06,,,Healthy
152.0,2025-05-19,2025-05-06,13.0,Healthy
152.0,2025-05-20,2025-05-19,1.0,Healthy
152.0,2025-06-05,2025-05-20,16.0,Healthy
152.0,2025-06-24,2025-06-05,19.0,Healthy
152.0,2025-06-24,2025-06-24,0.0,Healthy
152.0,2025-06-25,2025-06-24,1.0,Healthy
152.0,2025-06-26,2025-06-25,1.0,Healthy
153.0,2024-05-09,,,At Risk
153.0,2024-11-16,2024-05-09,191.0,At Risk
153.0,2025-02-20,2024-11-16,96.0,At Risk
153.0,2025-04-16,2025-02-20,55.0,At Risk
154.0,2024-08-13,,,At Risk
154.0,2024-10-05,2024-08-13,53.0,At Risk
154.0,2025-02-03,2024-10-05,121.0,At Risk
154.0,2025-04-20,2025-02-03,76.0,At Risk
155.0,2025-05-31,,,Healthy
155.0,2025-06-04,2025-05-31,4.0,Healthy
155.0,2025-06-08,2025-06-04,4.0,Healthy
156.0,2024-02-17,,,At Risk
156.0,2024-12-03,2024-02-17,290.0,At Risk
156.0,2024-12-24,2024-12-03,21.0,At Risk
157.0,2024-10-21,,,At Risk
157.0,2025-04-30,2024-10-21,191.0,At Risk
157.0,2025-05-09,2025-04-30,9.0,At Risk
158.0,2023-12-15,,,At Risk
158.0,2024-06-02,2023-12-15,170.0,At Risk
158.0,2024-07-06,2024-06-02,34.0,At Risk
158.0,2024-09-01,2024-07-06,57.0,At Risk
158.0,2024-10-18,2024-09-01,47.0,At Risk
158.0,2024-11-30,2024-10-18,43.0,At Risk
158.0,2025-05-19,2024-11-30,170.0,At Risk
159.0,2025-01-23,,,Healthy
159.0,2025-02-05,2025-01-23,13.0,Healthy
160.0,2024-11-07,,,Healthy
160.0,2024-11-29,2024-11-07,22.0,Healthy
160.0,2024-12-08,2024-11-29,9.0,Healthy
161.0,2025-05-28,,,Healthy
161.0,2025-06-21,2025-05-28,24.0,Healthy
161.0,2025-06-28,2025-06-21,7.0,Healthy
162.0,2025-01-25,,,Healthy
162.0,2025-02-07,2025-01-25,13.0,Healthy
164.0,2025-06-09,,,Healthy
164.0,2025-06-19,2025-06-09,10.0,Healthy
164.0,2025-06-20,2025-06-19,1.0,Healthy
165.0,2024-01-31,,,At Risk
165.0,2024-07-01,2024-01-31,152.0,At Risk
