transaction_id,customer_id,transaction_amount,transaction_date,store_channel,customer_name_token,card_number_token,email_masked,phone_masked,age_band,spend_category
TXN000018,CUST0141,18742.95,2026-05-23,E-Commerce,TKN_2010b0ff23b6a774,TKN_db9eda81db4fc3b5,s*******@example.com,******3231,60+,High (>5000)
TXN000019,CUST0013,142.69,2026-06-22,E-Commerce,TKN_d9713c91a13eb55b,TKN_e9c7d22d3dcf1579,b********@example.com,********7451,40-50,Low (<1000)
TXN000020,CUST0024,2760.17,2026-04-17,E-Commerce,TKN_501b33fd816e4d39,TKN_154dccec899769c2,i******@example.net,******6770,30-40,Medium (1000-5000)
TXN000021,CUST0043,519.92,2026-03-27,POS-Store,TKN_4d6bf43c78bea2f8,TKN_ec482775aab8ee12,u********@example.org,******7284,30-40,Low (<1000)
TXN000022,CUST0125,912.95,2026-07-31,POS-Store,TKN_c222900bcb320c6d,TKN_2c194baa5357162b,g*******@example.com,******2569,50-60,Low (<1000)
TXN000023,CUST0055,678.73,2026-05-04,POS-Store,TKN_be498cd0059bbd26,TKN_ae9961109cfc756a,b***********@example.org,******8317,30-40,Low (<1000)
TXN000024,CUST0016,543.54,2026-07-05,E-Commerce,TKN_c409067cc6af772a,TKN_10fca5b7ef301c04,u********@example.net,******6971,60+,Low (<1000)
TXN000025,CUST0098,1739.23,2026-03-12,E-Commerce,TKN_fd8819ba886d4612,TKN_1ae05e7aed1fcf9f,m*******@example.com,********7799,50-60,Medium (1000-5000)
TXN000026,CUST0100,18177.48,2026-07-19,POS-Store,TKN_3d5424c118aa8f57,TKN_ee3eb46a4ecec799,b**********@example.com,******8750,50-60,High (>5000)
TXN000027,CUST0117,20212.17,2026-08-05,POS-Store,TKN_24a6c27d01cbe6e3,TKN_3d21b880617e098b,b*************@example.com,********4634,60+,High (>5000)
TXN000028,CUST0109,4686.58,2026-05-15,POS-Store,TKN_0dcfba8fe07078cc,TKN_fe5801fa1c102ff1,k**********@example.net,********2224,50-60,Medium (1000-5000)
TXN000029,CUST0040,235.99,2026-02-25,E-Commerce,TKN_a5cab5710766b1fa,TKN_c1daf68d0aaf2d58,p**********@example.net,******5009,30-40,Low (<1000)
TXN000030,CUST0076,358.74,2026-03-07,E-Commerce,TKN_9751a3af27e523ce,TKN_45805a6376c9083c,j*****@example.org,********5853,40-50,Low (<1000)
TXN000031,CUST0015,2085.12,2026-05-14,E-Commerce,TKN_7b7fd8219b45a40d,TKN_2a225c31cf5b8a5b,k********@example.net,******3084,18-25,Medium (1000-5000)
TXN000032,CUST0081,11065.45,2026-05-07,E-Commerce,TKN_bd768ff988433936,TKN_4f26402f632f2007,a*************@example.net,******2060,18-25,High (>5000)
TXN000033,CUST0013,565.02,2026-07-02,POS-Store,TKN_d9713c91a13eb55b,TKN_c04aee2aa92ec484,b********@example.com,********7451,40-50,Low (<1000)
TXN000034,CUST0129,811.28,2026-08-09,E-Commerce,TKN_38d103afa21398ca,TKN_8d266d21b7af0831,b*********@example.com,********7024,18-25,Low (<1000)
TXN000035,CUST0015,986.56,2026-02-24,E-Commerce,TKN_7b7fd8219b45a40d,TKN_08563c5a82209c2d,k********@example.net,******3084,18-25,Low (<1000)
TXN000036,CUST0048,1794.66,2026-03-14,E-Commerce,TKN_c58ee63d989dacff,TKN_5c14203e31ca1fd2,a*******@example.org,******5839,40-50,Medium (1000-5000)
TXN000037,CUST0153,823.87,2026-05-05,E-Commerce,TKN_9c6bcd6e5e6606a1,TKN_66e676177db64540,h*********@example.org,******7991,50-60,Low (<1000)
TXN000038,CUST0173,3915.3,2026-07-30,E-Commerce,TKN_edb53679e9491831,TKN_c0c9572cefddfb02,m*********@example.com,******1975,60+,Medium (1000-5000)
TXN000039,CUST0104,1296.1,2026-05-22,E-Commerce,TKN_2134287d9a896f15,TKN_fcee52e05fdb9ed1,a*******@example.com,******9505,30-40,Medium (1000-5000)
TXN000040,CUST0146,1463.36,2026-05-06,E-Commerce,TKN_6d4b81a3d5bdaaf6,TKN_08457799bd655636,k*************@example.org,********7459,50-60,Medium (1000-5000)
TXN000041,CUST0149,15596.44,2026-08-08,E-Commerce,TKN_247b358f08af8c57,TKN_ca4ad087c8c49ea5,z********@example.net,******4315,40-50,High (>5000)
TXN000042,CUST0159,1254.17,2026-05-24,E-Commerce,TKN_15da5e0d38d0e03a,TKN_6ea788d012d6ef51,b*********@example.com,********7531,25-30,Medium (1000-5000)
TXN000043,CUST0108,358.6,2026-05-12,POS-Store,TKN_a75104c2fba245d1,TKN_7986a99020b461da,e*************@example.net,********7051,60+,Low (<1000)
TXN000044,CUST0067,3549.59,2026-06-15,E-Commerce,TKN_448c9246aab828bb,TKN_51c9452cddcd0b58,y********@example.com,********6157,30-40,Medium (1000-5000)
TXN000045,CUST0172,13028.18,2026-07-16,POS-Store,TKN_90c4dda0c1503147,TKN_6f8777c069a26ff0,h********@example.com,******7430,60+,High (>5000)
TXN000046,CUST0062,726.87,2026-07-05,POS-Store,TKN_5b6714eeca1617d9,TKN_e49b087c5a403863,p******@example.net,******5304,50-60,Low (<1000)
TXN000047,CUST0102,3244.55,2026-07-09,E-Commerce,TKN_9c93b62d0fc4868c,TKN_21bdb1d115f139ce,i*******@example.net,********6400,60+,Medium (1000-5000)
TXN000048,CUST0172,2974.69,2026-05-14,POS-Store,TKN_90c4dda0c1503147,TKN_541ae393fc37e71a,h********@example.com,******7430,60+,Medium (1000-5000)
TXN000049,CUST0118,2709.74,2026-04-29,POS-Store,TKN_40411bc7d87e7c95,TKN_d4ae30c69d10d388,s************@example.org,******7540,40-50,Medium (1000-5000)
TXN000050,CUST0019,152.39,2026-03-26,E-Commerce,TKN_c4da7b3e09b3239c,TKN_dec716959c5086c7,a*****@example.org,********7091,40-50,Low (<1000)
TXN000051,CUST0118,653.95,2026-06-26,E-Commerce,TKN_40411bc7d87e7c95,TKN_6ea284ca0ea709a8,s************@example.org,******7540,40-50,Low (<1000)
TXN000052,CUST0019,532.63,2026-03-16,E-Commerce,TKN_c4da7b3e09b3239c,TKN_2636b6426d2eb9e6,a*****@example.org,********7091,40-50,Low (<1000)
TXN000053,CUST0130,9238.72,2026-05-29,POS-Store,TKN_259c992d7d1e5791,TKN_f5e7c8edf18b9a05,d*************@example.org,******2762,60+,High (>5000)
TXN000054,CUST0034,4021.45,2026-06-25,POS-Store,TKN_cd63bd23b7abd508,TKN_59ca431a1960fdb4,a******@example.com,********9210,30-40,Medium (1000-5000)
TXN000055,CUST0018,123.05,2026-02-27,E-Commerce,TKN_65411a6ae30d0c68,TKN_18b20866a021704f,v*****************@example.com,********4919,30-40,Low (<1000)
TXN000056,CUST0095,203.0,2026-07-06,POS-Store,TKN_82a99779fb2f0945,TKN_08cf1dc00723be01,c***********@example.net,******5208,18-25,Low (<1000)
TXN000057,CUST0041,18738.24,2026-07-24,POS-Store,TKN_dc68f9d480a60fd2,TKN_ddcda124eae1a02f,b*********@example.org,*****8999,60+,High (>5000)
TXN000058,CUST0140,4484.97,2026-05-26,POS-Store,TKN_897f5c3970c94481,TKN_89304375270553e6,p*********@example.net,********7115,60+,Medium (1000-5000)
TXN000059,CUST0157,1746.09,2026-06-19,E-Commerce,TKN_334c0e0e831d9a32,TKN_50df72a4554efea8,c******@example.net,******6436,25-30,Medium (1000-5000)
TXN000060,CUST0171,14169.28,2026-05-15,POS-Store,TKN_641a41794957c8a7,TKN_8d6dc4421f5a45a2,o****@example.net,******5455,40-50,High (>5000)
TXN000061,CUST0170,4583.47,2026-07-17,E-Commerce,TKN_8f1266eaa0589056,TKN_283c0488e8caabe0,r******@example.com,*****3606,60+,Medium (1000-5000)
TXN000062,CUST0035,154.44,2026-08-04,POS-Store,TKN_47df22b0111bbae1,TKN_df61353b2cb32b6c,b*********@example.org,******9608,30-40,Low (<1000)
TXN000063,CUST0030,455.33,2026-08-06,E-Commerce,TKN_45ebc648209ea2fe,TKN_31ae950325f9ee53,d**********@example.com,******7479,50-60,Low (<1000)
TXN000064,CUST0142,19632.56,2026-04-02,E-Commerce,TKN_9939897c4dd3ac28,TKN_9f099fdbd2d88e0c,s****************@example.net,********2491,25-30,High (>5000)
TXN000065,CUST0070,534.7,2026-02-18,POS-Store,TKN_d71552f4daab6b6a,TKN_06526f5009342c4d,w*********@example.net,******5811,30-40,Low (<1000)
TXN000066,CUST0155,1888.21,2026-04-04,E-Commerce,TKN_ad553317eddf432a,TKN_6e6af324fb4a892e,f*********@example.net,******6049,30-40,Medium (1000-5000)
TXN000067,CUST0088,370.4,2026-06-29,E-Commerce,TKN_1c7d32197ab3de98,TKN_81416cd2c00e58c7,c*****@example.com,******1574,40-50,Low (<1000)
TXN000068,CUST0176,10495.13,2026-07-16,POS-Store,TKN_7b769d3956b2b5a1,TKN_48d21bd7264ae7e6,t******@example.org,******2598,18-25,High (>5000)
TXN000069,CUST0130,3811.37,2026-06-24,POS-Store,TKN_259c992d7d1e5791,TKN_b10dcf590e4e5f84,d*************@example.org,******2762,60+,Medium (1000-5000)
TXN000070,CUST0065,4886.16,2026-05-31,E-Commerce,TKN_fc015c153538c737,TKN_7186d365c2b90dd7,t***@example.org,******3403,50-60,Medium (1000-5000)
TXN000071,CUST0024,9281.05,2026-05-15,POS-Store,TKN_501b33fd816e4d39,TKN_ba453343fbe6af0d,i******@example.net,******6770,30-40,High (>5000)
TXN000072,CUST0071,2203.21,2026-03-27,E-Commerce,TKN_7496a150e6b0b83f,TKN_fdc9fce5e223a0b3,y********@example.com,******9705,60+,Medium (1000-5000)
TXN000073,CUST0001,85.01,2026-05-28,POS-Store,TKN_aa9c50607ca2cade,TKN_b75c626ee71fc559,y********@example.org,*****6897,50-60,Low (<1000)
TXN000074,CUST0034,3010.21,2026-06-22,POS-Store,TKN_cd63bd23b7abd508,TKN_a7fbcf5a91a6ac78,a******@example.com,********9210,30-40,Medium (1000-5000)
TXN000075,CUST0042,314.44,2026-04-03,POS-Store,TKN_3070ced519749549,TKN_5876eac2a6284d69,a**********@example.org,******8665,40-50,Low (<1000)
TXN000076,CUST0142,9073.31,2026-05-03,POS-Store,TKN_9939897c4dd3ac28,TKN_ff14e3cfd67d3db4,s****************@example.net,********2491,25-30,High (>5000)
TXN000077,CUST0144,514.49,2026-06-25,E-Commerce,TKN_d24e5267327efc81,TKN_3d0b00472987e290,s***************@example.com,********7507,18-25,Low (<1000)
TXN000078,CUST0029,9115.7,2026-06-08,E-Commerce,TKN_31c8d748d4b0573e,TKN_03bc3b722eece039,l**********@example.org,********7820,30-40,High (>5000)
TXN000079,CUST0177,4045.72,2026-05-08,E-Commerce,TKN_60b7b5180022ed46,TKN_db574201f7aa0f44,u********@example.net,********0174,40-50,Medium (1000-5000)
TXN000080,CUST0140,741.08,2026-03-29,E-Commerce,TKN_897f5c3970c94481,TKN_b2973e99522e2fc7,p*********@example.net,********7115,60+,Low (<1000)
TXN000081,CUST0095,3528.59,2026-07-01,E-Commerce,TKN_82a99779fb2f0945,TKN_036539cda4700ee3,c***********@example.net,******5208,18-25,Medium (1000-5000)
TXN000082,CUST0111,3142.56,2026-05-07,E-Commerce,TKN_c6e8ec27f49fb2fb,TKN_e8eb46a692891f1a,b***********@example.com,******8098,30-40,Medium (1000-5000)
TXN000083,CUST0011,842.7,2026-06-26,POS-Store,TKN_b98c169efb30ef0d,TKN_0b803424b316ffd9,k*******@example.com,********0686,60+,Low (<1000)
TXN000084,CUST0094,227.01,2026-05-07,E-Commerce,TKN_d73cecef69c7eff2,TKN_f065495c14e2ca5b,e*******@example.org,********6015,18-25,Low (<1000)
TXN000085,CUST0092,610.76,2026-07-23,E-Commerce,TKN_3301b73c8d8e7341,TKN_10ac7a3f2e0e116c,u**********@example.org,***5235,40-50,Low (<1000)
TXN000086,CUST0175,1066.33,2026-03-01,E-Commerce,TKN_8c01332da8c5e3d9,TKN_84ebea72c55b10b0,t**********@example.com,******8247,60+,Medium (1000-5000)
TXN000087,CUST0171,1905.76,2026-03-07,E-Commerce,TKN_641a41794957c8a7,TKN_823e45f691502f4c,o****@example.net,******5455,40-50,Medium (1000-5000)
TXN000088,CUST0091,1697.29,2026-07-16,POS-Store,TKN_0d4cf00f6d4ea984,TKN_f4b364b4225d3b58,k******@example.com,******1388,30-40,Medium (1000-5000)
TXN000089,CUST0159,2546.55,2026-02-24,E-Commerce,TKN_15da5e0d38d0e03a,TKN_9fd103ef7730859a,b*********@example.com,********7531,25-30,Medium (1000-5000)
TXN000090,CUST0061,7338.72,2026-07-17,E-Commerce,TKN_c442a4d82a49e586,TKN_f938458b9f0efc11,s***********@example.net,********8364,60+,High (>5000)
TXN000091,CUST0046,1453.78,2026-02-23,POS-Store,TKN_d05de67bc1ee510a,TKN_c568090f3f06c749,e******@example.org,********1606,60+,Medium (1000-5000)
TXN000092,CUST0007,19914.89,2026-05-30,E-Commerce,TKN_1451ce60162f6f3c,TKN_4d7bd44ee24e724d,e*******@example.org,********8538,50-60,High (>5000)
TXN000093,CUST0086,676.32,2026-07-26,POS-Store,TKN_585e4d85fd3084e7,TKN_38d00dc04a48191e,m*****@example.com,******6001,50-60,Low (<1000)
TXN000094,CUST0172,14438.86,2026-07-04,E-Commerce,TKN_90c4dda0c1503147,TKN_e91a55e6471679bb,h********@example.com,******7430,60+,High (>5000)
TXN000095,CUST0069,1967.17,2026-06-02,E-Commerce,TKN_165da5533feb80b5,TKN_2adc12d151d6c9c5,t******@example.com,********4974,40-50,Medium (1000-5000)
TXN000096,CUST0180,901.46,2026-03-03,E-Commerce,TKN_3679263b862f5345,TKN_8111e701a6efeecd,t***@example.com,******2214,40-50,Low (<1000)
TXN000097,CUST0098,15763.09,2026-07-06,E-Commerce,TKN_fd8819ba886d4612,TKN_701e69d810581d94,m*******@example.com,********7799,50-60,High (>5000)
TXN000098,CUST0121,2396.49,2026-02-24,E-Commerce,TKN_33704defc6d45e3c,TKN_4393eb787fab2b58,s*********@example.com,********8081,18-25,Medium (1000-5000)
TXN000099,CUST0052,4587.54,2026-03-29,POS-Store,TKN_6aa51b48cc6a210d,TKN_f02652c9ae14ad60,n*****@example.net,********7741,30-40,Medium (1000-5000)
TXN000100,CUST0090,18258.1,2026-05-14,POS-Store,TKN_a026b0c89975d179,TKN_890ff7ecce6ffd5f,n*******@example.net,********7348,30-40,High (>5000)
TXN000101,CUST0059,1336.48,2026-03-21,E-Commerce,TKN_eab10eb52f164646,TKN_3986e65a75426c60,x******@example.com,******0344,40-50,Medium (1000-5000)
TXN000102,CUST0007,902.73,2026-05-31,E-Commerce,TKN_1451ce60162f6f3c,TKN_247ad1ad19e4aa82,e*******@example.org,********8538,50-60,Low (<1000)
TXN000103,CUST0103,1036.78,2026-04-15,POS-Store,TKN_fb2f34fc242efea5,TKN_6fca890b218465b4,o***@example.com,******0028,30-40,Medium (1000-5000)
TXN000104,CUST0072,679.66,2026-07-23,E-Commerce,TKN_aa0d64b0043aa9c1,TKN_96c149e826296ee2,z*********@example.org,******5060,40-50,Low (<1000)
TXN000105,CUST0072,202.61,2026-08-04,POS-Store,TKN_aa0d64b0043aa9c1,TKN_30de6c9932204fc0,z*********@example.org,******5060,40-50,Low (<1000)
TXN000106,CUST0165,3766.89,2026-07-28,POS-Store,TKN_fe8d878d6db2bcbd,TKN_ce4a95ab2adb8561,s***********@example.com,******2465,60+,Medium (1000-5000)
TXN000107,CUST0174,1896.85,2026-07-23,POS-Store,TKN_020a4014a4b520c2,TKN_50fafdc960e6c64e,t************@example.org,********8258,30-40,Medium (1000-5000)
TXN000108,CUST0008,1948.76,2026-06-08,E-Commerce,TKN_69334367de02d718,TKN_c33a6f6a7a49f816,m****@example.com,********6486,60+,Medium (1000-5000)
TXN000109,CUST0067,758.42,2026-05-15,E-Commerce,TKN_448c9246aab828bb,TKN_c3f969ce8b818b79,y********@example.com,********6157,30-40,Low (<1000)
TXN000110,CUST0149,4396.04,2026-04-18,POS-Store,TKN_247b358f08af8c57,TKN_c80f7bd39a7401a2,z********@example.net,******4315,40-50,Medium (1000-5000)
TXN000111,CUST0010,3272.67,2026-05-06,E-Commerce,TKN_6d706890c91d9898,TKN_03fa1b61b77c889c,p**********@example.org,******5521,60+,Medium (1000-5000)
TXN000112,CUST0153,398.96,2026-04-11,POS-Store,TKN_9c6bcd6e5e6606a1,TKN_3508df9a7e7c7a29,h*********@example.org,******7991,50-60,Low (<1000)
TXN000113,CUST0089,281.55,2026-08-08,POS-Store,TKN_68263c5cd1116993,TKN_775aecc7386ed518,k*****@example.com,********0235,30-40,Low (<1000)
TXN000114,CUST0112,11683.27,2026-03-20,E-Commerce,TKN_a35ac6fe46a11953,TKN_1d64bebc80c639c5,e******@example.com,********3351,50-60,High (>5000)
TXN000115,CUST0099,15729.73,2026-05-14,E-Commerce,TKN_07959ce6ebbc2ed6,TKN_9f46c398f80b0f13,f*********@example.com,******5744,50-60,High (>5000)
TXN000116,CUST0066,3010.05,2026-07-18,E-Commerce,TKN_8965bc9f0a1dbf41,TKN_30bb3d0c18cc8c20,j******@example.org,******0837,25-30,Medium (1000-5000)
TXN000117,CUST0112,2969.58,2026-07-20,E-Commerce,TKN_a35ac6fe46a11953,TKN_9fe12398307915a6,e******@example.com,********3351,50-60,Medium (1000-5000)
TXN000118,CUST0134,735.61,2026-07-27,E-Commerce,TKN_dedfc36132bf828e,TKN_3889f649e3ae5189,v*******@example.net,********6827,50-60,Low (<1000)
TXN000119,CUST0094,73.08,2026-06-17,POS-Store,TKN_d73cecef69c7eff2,TKN_909297a877a7f938,e*******@example.org,********6015,18-25,Low (<1000)
TXN000120,CUST0018,1708.27,2026-04-03,POS-Store,TKN_65411a6ae30d0c68,TKN_34bf784eae5b9999,v*****************@example.com,********4919,30-40,Medium (1000-5000)
TXN000121,CUST0160,21216.83,2026-07-29,POS-Store,TKN_dad9864e2c0f0fba,TKN_12dfba275397c758,r*********@example.org,********2151,50-60,High (>5000)
TXN000122,CUST0170,11293.33,2026-06-30,E-Commerce,TKN_8f1266eaa0589056,TKN_f7c1d333984e841d,r******@example.com,*****3606,60+,High (>5000)
TXN000123,CUST0077,930.97,2026-03-17,POS-Store,TKN_860432528c83016b,TKN_1acaea01784b0a91,b*******@example.net,******3704,60+,Low (<1000)
TXN000124,CUST0171,4865.65,2026-04-17,POS-Store,TKN_641a41794957c8a7,TKN_8f929d1ceff01a87,o****@example.net,******5455,40-50,Medium (1000-5000)
TXN000125,CUST0084,19501.31,2026-05-30,POS-Store,TKN_82315dd82932fbdb,TKN_ab109d565fad9569,l*******@example.org,********1522,50-60,High (>5000)
TXN000126,CUST0179,415.46,2026-03-03,POS-Store,TKN_45c6731875b8ce3b,TKN_70561941599db425,e*******@example.org,********0629,25-30,Low (<1000)
TXN000127,CUST0142,10388.36,2026-06-05,E-Commerce,TKN_9939897c4dd3ac28,TKN_bbf0dab520f9e30a,s****************@example.net,********2491,25-30,High (>5000)
TXN000128,CUST0050,578.4,2026-05-22,POS-Store,TKN_2da03ddb996d3888,TKN_023ddc754ec305a9,p**************@example.net,********6220,40-50,Low (<1000)
TXN000129,CUST0171,16832.81,2026-05-05,POS-Store,TKN_641a41794957c8a7,TKN_8f03231a320490d6,o****@example.net,******5455,40-50,High (>5000)
TXN000130,CUST0174,1388.61,2026-05-22,E-Commerce,TKN_020a4014a4b520c2,TKN_0d1d8f2607c872d3,t************@example.org,********8258,30-40,Medium (1000-5000)
TXN000131,CUST0158,4959.23,2026-05-06,POS-Store,TKN_0365e1a512f3cb35,TKN_0530880a39ef0496,k*******@example.org,******0151,18-25,Medium (1000-5000)
TXN000132,CUST0104,541.89,2026-04-23,E-Commerce,TKN_2134287d9a896f15,TKN_fac9e68d7e5985f9,a*******@example.com,******9505,30-40,Low (<1000)
TXN000133,CUST0078,17593.33,2026-04-12,POS-Store,TKN_21cd9c7cfe587667,TKN_d0e7904e4e1f6897,j*******@example.com,******9397,40-50,High (>5000)
TXN000134,CUST0054,3809.23,2026-04-11,POS-Store,TKN_91029e96b9c85ee6,TKN_8cfe08e2d0b87c82,a***************@example.org,******8649,25-30,Medium (1000-5000)
TXN000135,CUST0149,2174.07,2026-04-05,POS-Store,TKN_247b358f08af8c57,TKN_4b5f06fc666f786e,z********@example.net,******4315,40-50,Medium (1000-5000)
TXN000136,CUST0120,4239.64,2026-08-02,POS-Store,TKN_9b83aeea1ac334eb,TKN_96ee02cc122714b5,z*****@example.org,******3880,50-60,Medium (1000-5000)
TXN000137,CUST0114,20525.18,2026-07-06,E-Commerce,TKN_bf533f57e79ad8ff,TKN_7470f89a9d3a6425,s***********@example.org,******4926,25-30,High (>5000)
TXN000138,CUST0131,3005.56,2026-06-18,POS-Store,TKN_d90487d7a2196678,TKN_fbfa09b9f92f0df0,m**********@example.org,*****8475,30-40,Medium (1000-5000)
TXN000139,CUST0044,3599.21,2026-06-21,E-Commerce,TKN_e4555141b26b9b02,TKN_c73b67bb426b445c,j********@example.com,******0753,50-60,Medium (1000-5000)
TXN000140,CUST0073,4182.37,2026-05-17,POS-Store,TKN_8031cc1e99b326d3,TKN_afd603e0595643c3,a**********@example.com,******0896,60+,Medium (1000-5000)
TXN000141,CUST0024,10746.58,2026-06-01,E-Commerce,TKN_501b33fd816e4d39,TKN_cf27e19380430a61,i******@example.net,******6770,30-40,High (>5000)
TXN000142,CUST0173,1375.83,2026-05-22,POS-Store,TKN_edb53679e9491831,TKN_5da47ed9d54ab4bc,m*********@example.com,******1975,60+,Medium (1000-5000)
TXN000143,CUST0058,1143.73,2026-04-27,E-Commerce,TKN_7f3b08965c78cc43,TKN_2e22f27a41e41ec8,c**********@example.org,******7377,30-40,Medium (1000-5000)
TXN000144,CUST0038,3170.04,2026-06-26,E-Commerce,TKN_96c7a87ae58e9eb2,TKN_dd7ffbd34703bf24,s**********@example.net,******1862,25-30,Medium (1000-5000)
TXN000145,CUST0012,610.7,2026-02-17,E-Commerce,TKN_2fd3be28ea70b212,TKN_81a6bf8442ba2de4,r**********@example.net,******7222,60+,Low (<1000)
TXN000146,CUST0122,85.44,2026-03-29,E-Commerce,TKN_d31147b6476ac505,TKN_5287723e417d11be,k********@example.org,********3051,50-60,Low (<1000)
TXN000147,CUST0117,11123.88,2026-03-25,POS-Store,TKN_24a6c27d01cbe6e3,TKN_ed95c4afcba2974b,b*************@example.com,********4634,60+,High (>5000)
TXN000148,CUST0162,545.61,2026-07-17,E-Commerce,TKN_ee8788d433fc184e,TKN_5a393d563703eaf8,m*****@example.org,******3914,40-50,Low (<1000)
TXN000149,CUST0179,1863.07,2026-05-30,POS-Store,TKN_45c6731875b8ce3b,TKN_4211dd71f05faff9,e*******@example.org,********0629,25-30,Medium (1000-5000)
TXN000150,CUST0127,1341.3,2026-02-27,POS-Store,TKN_20e3a19547514bbe,TKN_8df47ba6a4f4c745,m*****************@example.net,******9752,30-40,Medium (1000-5000)
TXN000151,CUST0063,554.26,2026-03-08,E-Commerce,TKN_10b3648b57cc6d02,TKN_c2004e065fb9acbc,n*************@example.com,********7051,18-25,Low (<1000)
TXN000152,CUST0168,3549.08,2026-05-27,E-Commerce,TKN_d86d69ef2c050e19,TKN_e0ece7510046ce84,m**********@example.net,******0556,60+,Medium (1000-5000)
TXN000153,CUST0028,4902.43,2026-06-30,POS-Store,TKN_e8dc50899b9ddf56,TKN_cedf2e298f8a972a,p*************@example.com,******9024,40-50,Medium (1000-5000)
TXN000154,CUST0057,2291.5,2026-06-23,E-Commerce,TKN_0e61a6d384c92470,TKN_a99c2c79ddd4b7f6,m********@example.net,******2796,30-40,Medium (1000-5000)
TXN000155,CUST0179,2083.06,2026-08-02,POS-Store,TKN_45c6731875b8ce3b,TKN_96d94d004fd9adc1,e*******@example.org,********0629,25-30,Medium (1000-5000)
TXN000156,CUST0013,1313.75,2026-06-11,E-Commerce,TKN_d9713c91a13eb55b,TKN_474aca2382439279,b********@example.com,********7451,40-50,Medium (1000-5000)
TXN000157,CUST0032,963.55,2026-07-29,POS-Store,TKN_27b7c673d7f38e67,TKN_dc9d1447ace946bd,k********@example.org,********6147,30-40,Low (<1000)
TXN000158,CUST0035,16831.87,2026-04-05,POS-Store,TKN_47df22b0111bbae1,TKN_56e19e0f767e64ac,b*********@example.org,******9608,30-40,High (>5000)
TXN000159,CUST0171,1693.0,2026-05-11,POS-Store,TKN_641a41794957c8a7,TKN_fbab40e1f46dface,o****@example.net,******5455,40-50,Medium (1000-5000)
TXN000160,CUST0114,287.48,2026-06-23,POS-Store,TKN_bf533f57e79ad8ff,TKN_15c1a5a763a8733a,s***********@example.org,******4926,25-30,Low (<1000)
TXN000161,CUST0141,3857.67,2026-06-12,POS-Store,TKN_2010b0ff23b6a774,TKN_d26bcf72cf1ddcac,s*******@example.com,******3231,60+,Medium (1000-5000)
